mirnaid	genesymbol
hsa-miR-107	CDK6
hsa-miR-107	CLOCK
hsa-miR-107	DICER1
hsa-miR-107	DYRK2
hsa-miR-107	VCAN
hsa-miR-107	CLOCK
hsa-miR-107	DYRK2
hsa-miR-107	VCAN
hsa-miR-107	CDK6
hsa-miR-107	DICER1
hsa-miR-107	PLAG1
hsa-miR-107	CNNM2
hsa-miR-107	CDK8
hsa-miR-107	CDK8
hsa-miR-107	CSNK1G3
hsa-miR-107	CSNK1G3
hsa-miR-107	DICER1
hsa-miR-107	CCNT1
hsa-miR-107	CDV3
hsa-miR-107	CDV3
hsa-miR-107	CDV3
hsa-miR-107	BAZ2A
hsa-miR-107	AGO1
hsa-miR-107	AGO1
hsa-miR-107	CYRIA
hsa-miR-107	RAMAC
hsa-miR-107	RBBP6
hsa-miR-107	PURB
hsa-miR-107	PURB
hsa-miR-107	NUP50
hsa-miR-107	RUNX1T1
hsa-miR-107	RUNX1T1
hsa-miR-107	DICER1
hsa-miR-107	PIK3R1
hsa-miR-107	PIK3R1
hsa-miR-107	PIK3R1
hsa-miR-107	PIK3R1
hsa-miR-107	OGT
hsa-miR-107	BTLA
hsa-miR-107	CNNM2
hsa-miR-107	G3BP2
hsa-miR-107	G3BP2
hsa-miR-107	PIK3R1
hsa-miR-107	NUP50
hsa-miR-107	G3BP2
hsa-miR-107	G3BP2
hsa-miR-107	SETD1B
hsa-miR-107	G3BP2
hsa-miR-107	ATG14
hsa-miR-107	DICER1
hsa-miR-107	G3BP2
hsa-miR-107	G3BP2
hsa-miR-107	G3BP2
hsa-miR-107	CALU
hsa-miR-107	G3BP2
hsa-miR-107	JOSD1
hsa-miR-107	CPEB3
hsa-miR-107	CPEB3
hsa-miR-107	CPEB3
hsa-miR-107	ATG14
hsa-miR-107	PNISR
hsa-miR-107	CAB39
hsa-miR-107	CDV3
hsa-miR-107	OTUD7B
hsa-miR-107	SLAIN2
hsa-miR-107	GCC1
hsa-miR-107	ATP13A3
hsa-miR-107	ELK4
hsa-miR-107	ELK4
hsa-miR-107	FGF2
hsa-miR-107	SALL1
hsa-miR-107	SH3GL2
hsa-miR-107	FZD6
hsa-miR-107	DYRK2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ACTR2
hsa-miR-107	DYRK2
hsa-miR-107	GNAI3
hsa-miR-107	POLD3
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	AGO1
hsa-miR-107	G3BP2
hsa-miR-107	BAZ2A
hsa-miR-107	C16orf72
hsa-miR-107	NRBP1
hsa-miR-107	NRBP1
hsa-miR-107	CCNE1
hsa-miR-107	CCNE1
hsa-miR-107	SNCG
hsa-miR-107	LCOR
hsa-miR-107	BAZ2A
hsa-miR-107	SETD1B
hsa-miR-107	JOSD1
hsa-miR-107	FGF2
hsa-miR-107	POLD3
hsa-miR-107	POLD3
hsa-miR-107	EIF1AX
hsa-miR-107	ACTR2
hsa-miR-107	ACTR2
hsa-miR-107	YTHDC1
hsa-miR-107	CSNK1G3
hsa-miR-107	BTLA
hsa-miR-107	PPP6C
hsa-miR-107	PPP6C
hsa-miR-107	CALU
hsa-miR-107	CAB39
hsa-miR-107	CAB39
hsa-miR-107	CDV3
hsa-miR-107	ABL2
hsa-miR-107	ATXN1L
hsa-miR-107	MYB
hsa-miR-107	MYB
hsa-miR-107	VCAN
hsa-miR-107	FZD6
hsa-miR-107	FZD6
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	ABL2
hsa-miR-107	CPEB3
hsa-miR-107	CPEB3
hsa-miR-107	RUNX1T1
hsa-miR-107	RUNX1T1
hsa-miR-107	RUNX1T1
hsa-miR-107	RUNX1T1
hsa-miR-107	CALU
hsa-miR-107	CALU
hsa-miR-107	CALU
hsa-miR-107	CALU
hsa-miR-107	CCNE1
hsa-miR-107	CCNT1
hsa-miR-107	PIK3R1
hsa-miR-107	PIK3R1
hsa-miR-1179	RORA
hsa-miR-1179	RORA
hsa-miR-1179	RORA
hsa-miR-1179	RORA
hsa-miR-1182	ZNF609
hsa-miR-1182	TRIM25
hsa-miR-1183	KIAA0232
hsa-miR-1183	KIAA0232
hsa-miR-1183	STRBP
hsa-miR-1193	PSMB2
hsa-miR-1193	PSMB2
hsa-miR-1193	ABI2
hsa-miR-1193	ABI2
hsa-miR-1193	DIRAS1
hsa-miR-1193	ABI2
hsa-miR-1193	ABI2
hsa-miR-1193	ABI2
hsa-miR-1193	CCDC85C
hsa-miR-1193	XIAP
hsa-miR-1197	BZW1
hsa-miR-1200	TMEM59
hsa-miR-1200	TMEM59
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	TMEM154
hsa-miR-1200	MTDH
hsa-miR-1200	TMEM154
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	BBC3
hsa-miR-1200	KLF13
hsa-miR-1200	KLF13
hsa-miR-1200	POLE3
hsa-miR-1200	TMEM59
hsa-miR-1200	H3-3B
hsa-miR-1200	ARPP19
hsa-miR-1200	GALNT6
hsa-miR-1200	DNAJB5
hsa-miR-1200	ARPP19
hsa-miR-1200	ARPP19
hsa-miR-1200	MTDH
hsa-miR-1200	H3-5
hsa-miR-1200	BBC3
hsa-miR-1200	BBC3
hsa-miR-1202	SYNJ2BP
hsa-miR-1202	SYNJ2BP
hsa-miR-1202	LAMP5
hsa-miR-1202	ZBTB43
hsa-miR-1202	ZBTB43
hsa-miR-1202	LAMP5
hsa-miR-1205	NR6A1
hsa-miR-1205	NR6A1
hsa-miR-1205	TOR2A
hsa-miR-1205	CEP43
hsa-miR-1205	ANKS1A
hsa-miR-1205	SBNO1
hsa-miR-1205	UBE2H
hsa-miR-1205	CRKL
hsa-miR-1205	PICALM
hsa-miR-1205	NR6A1
hsa-miR-1205	TOR2A
hsa-miR-1205	SBNO1
hsa-miR-1205	UBE2H
hsa-miR-1205	PICALM
hsa-miR-1205	PICALM
hsa-miR-1208	DOT1L
hsa-miR-1208	NUCKS1
hsa-miR-1208	YY1
hsa-miR-1208	YY1
hsa-miR-1208	CD164
hsa-miR-1208	CD164
hsa-miR-1208	CD164
hsa-miR-1208	CD164
hsa-miR-1208	CD164
hsa-miR-1208	CD164
hsa-miR-1231	SOX5
hsa-miR-1231	FAIM2
hsa-miR-1243	SECISBP2L
hsa-miR-1243	SECISBP2L
hsa-miR-1245a	ORAI2
hsa-miR-1245a	ORAI2
hsa-miR-1248	TNS1
hsa-miR-1248	TNS1
hsa-miR-1248	CREBRF
hsa-miR-1248	TNS1
hsa-miR-1248	TMEM170B
hsa-miR-1253	CECR2
hsa-miR-1253	CECR2
hsa-miR-1253	SRSF10
hsa-miR-1253	LUZP1
hsa-miR-1253	LUZP1
hsa-miR-1253	SRSF10
hsa-miR-1253	CSNK2A1
hsa-miR-1253	CSNK2A1
hsa-miR-1253	CSNK2A1
hsa-miR-1253	CSNK2A1
hsa-miR-1253	SIAH3
hsa-miR-1253	SIAH3
hsa-miR-1253	CSNK2A1
hsa-miR-1253	CSNK2A1
hsa-miR-1253	SOX4
hsa-miR-1253	MECP2
hsa-miR-1253	GATA6
hsa-miR-1253	SRSF10
hsa-miR-1253	LUZP1
hsa-miR-1253	LUZP1
hsa-miR-1253	SRSF10
hsa-miR-1253	SRSF10
hsa-miR-1253	SRSF10
hsa-miR-1255a	YWHAZ
hsa-miR-1255a	YWHAZ
hsa-miR-1255a	SRD5A3
hsa-miR-1255a	YWHAZ
hsa-miR-1255a	YWHAZ
hsa-miR-1255a	YWHAZ
hsa-miR-1255a	YWHAZ
hsa-miR-1256	ZIC5
hsa-miR-1256	STK4
hsa-miR-1257	ZNF468
hsa-miR-1257	ZFP1
hsa-miR-1257	ZFP1
hsa-miR-1257	SERBP1
hsa-miR-1257	FOXN3
hsa-miR-1257	SPAG9
hsa-miR-1257	SPAG9
hsa-miR-1257	ZNF268
hsa-miR-1257	ZNF268
hsa-miR-1257	ZNF268
hsa-miR-1257	ZNF268
hsa-miR-1260a	KIF3A
hsa-miR-1260a	TAF8
hsa-miR-1260a	TAF8
hsa-miR-1260a	GATAD2B
hsa-miR-1260a	TAF8
hsa-miR-1260a	TSC22D2
hsa-miR-1260a	MIS18A
hsa-miR-1260a	GATAD2B
hsa-miR-1260a	GATAD2B
hsa-miR-1260a	ATF6B
hsa-miR-1260a	TFDP2
hsa-miR-1260a	TFDP2
