hsa-mir-1193	ENSG00000138443
hsa-mir-107	ENSG00000143322
hsa-mir-4458	ENSG00000177076
hsa-mir-4500	ENSG00000177076
hsa-mir-3666	ENSG00000115170
hsa-mir-449a	ENSG00000137845
hsa-mir-107	ENSG00000092847
hsa-mir-4465	ENSG00000155189
hsa-mir-4465	ENSG00000284980
hsa-mir-4465	ENSG00000174574
hsa-mir-4319	ENSG00000166295
hsa-mir-760	ENSG00000185722
hsa-mir-4319	ENSG00000164236
hsa-mir-4458	ENSG00000186106
hsa-mir-4458	ENSG00000179361
hsa-mir-107	ENSG00000133657
hsa-mir-3167	ENSG00000124788
hsa-mir-107	ENSG00000224470
hsa-mir-107	ENSG00000076108
hsa-mir-665	ENSG00000105327
hsa-mir-448	ENSG00000171791
hsa-mir-346	ENSG00000113916
hsa-mir-107	ENSG00000186265
hsa-mir-23c	ENSG00000186265
hsa-mir-1197	ENSG00000082153
hsa-mir-4458	ENSG00000082153
hsa-mir-107	ENSG00000182831
hsa-mir-4458	ENSG00000160392
hsa-mir-206	ENSG00000205765
hsa-mir-4458	ENSG00000205765
hsa-mir-613	ENSG00000205765
hsa-mir-107	ENSG00000135932
hsa-mir-665	ENSG00000142408
hsa-mir-107	ENSG00000128595
hsa-mir-449a	ENSG00000077274
hsa-mir-4458	ENSG00000094916
hsa-mir-4458	ENSG00000110092
hsa-mir-4465	ENSG00000118971
hsa-mir-4644	ENSG00000118971
hsa-mir-449a	ENSG00000175305
hsa-mir-3666	ENSG00000155111
hsa-mir-4295	ENSG00000155111
hsa-mir-107	ENSG00000105810
hsa-mir-107	ENSG00000132964
hsa-mir-4458	ENSG00000124762
hsa-mir-4458	ENSG00000091527
hsa-mir-4500	ENSG00000091527
hsa-mir-429	ENSG00000149187
hsa-mir-4458	ENSG00000174799
hsa-mir-448	ENSG00000182504
hsa-mir-3666	ENSG00000165410
hsa-mir-4295	ENSG00000130779
hsa-mir-107	ENSG00000134852
hsa-mir-133b	ENSG00000064666
hsa-mir-107	ENSG00000148842
hsa-mir-107	ENSG00000107864
hsa-mir-133b	ENSG00000085719
hsa-mir-4429	ENSG00000164463
hsa-mir-4465	ENSG00000164463
hsa-mir-107	ENSG00000151292
hsa-mir-3666	ENSG00000036257
hsa-mir-3666	ENSG00000057019
hsa-mir-4295	ENSG00000188215
hsa-mir-3666	ENSG00000110367
hsa-mir-3666	ENSG00000024526
hsa-mir-4319	ENSG00000005100
hsa-mir-107	ENSG00000100697
hsa-mir-448	ENSG00000110042
hsa-mir-4458	ENSG00000161202
hsa-mir-107	ENSG00000127334
hsa-mir-4458	ENSG00000169016
hsa-mir-4465	ENSG00000116406
hsa-mir-4319	ENSG00000175376
hsa-mir-107	ENSG00000158711
hsa-mir-326	ENSG00000182580
hsa-mir-4458	ENSG00000197930
