hsa-mir-1262	ENSG00000141622
hsa-mir-1269a	ENSG00000049239
hsa-mir-1269a	ENSG00000079482
hsa-mir-1269a	ENSG00000145936
hsa-mir-184	ENSG00000147439
hsa-mir-184	ENSG00000136802
hsa-mir-326	ENSG00000114757
hsa-mir-326	ENSG00000113578
hsa-mir-326	ENSG00000123360
hsa-mir-326	ENSG00000171552
hsa-mir-326	ENSG00000141376
hsa-mir-326	ENSG00000105447
hsa-mir-326	ENSG00000182040
hsa-mir-326	ENSG00000186575
hsa-mir-326	ENSG00000100991
hsa-mir-326	ENSG00000120885
hsa-mir-326	ENSG00000182580
hsa-mir-326	ENSG00000110344
hsa-mir-326	ENSG00000167114
hsa-mir-326	ENSG00000136485
hsa-mir-326	ENSG00000203867
hsa-mir-326	ENSG00000274070
hsa-mir-665	ENSG00000221914
hsa-mir-665	ENSG00000148248
hsa-mir-665	ENSG00000115593
hsa-mir-665	ENSG00000121864
hsa-mir-665	ENSG00000169598
hsa-mir-665	ENSG00000168234
hsa-mir-665	ENSG00000130517
hsa-mir-665	ENSG00000182504
hsa-mir-665	ENSG00000166822
hsa-mir-665	ENSG00000108639
hsa-mir-665	ENSG00000277363
hsa-mir-665	ENSG00000178878
hsa-mir-665	ENSG00000143376
hsa-mir-665	ENSG00000142408
hsa-mir-665	ENSG00000171612
hsa-mir-665	ENSG00000189164
hsa-mir-665	ENSG00000166847
hsa-mir-665	ENSG00000198466
hsa-mir-665	ENSG00000163933
hsa-mir-665	ENSG00000124762
hsa-mir-665	ENSG00000142459
hsa-mir-665	ENSG00000156017
hsa-mir-665	ENSG00000166068
hsa-mir-665	ENSG00000151117
hsa-mir-665	ENSG00000140090
hsa-mir-665	ENSG00000185436
hsa-mir-665	ENSG00000125818
hsa-mir-665	ENSG00000198570
hsa-mir-665	ENSG00000170581
hsa-mir-665	ENSG00000092929
hsa-mir-665	ENSG00000076067
hsa-mir-665	ENSG00000099377
hsa-mir-665	ENSG00000127483
hsa-mir-665	ENSG00000221890
hsa-mir-665	ENSG00000163909
hsa-mir-665	ENSG00000225190
hsa-mir-665	ENSG00000101280
hsa-mir-665	ENSG00000127528
hsa-mir-665	ENSG00000148082
hsa-mir-665	ENSG00000091542
hsa-mir-665	ENSG00000145996
hsa-mir-665	ENSG00000152683
hsa-mir-665	ENSG00000107021
hsa-mir-665	ENSG00000172840
hsa-mir-665	ENSG00000163814
hsa-mir-665	ENSG00000188822
hsa-mir-665	ENSG00000102962
hsa-mir-665	ENSG00000152104
hsa-mir-665	ENSG00000072501
hsa-mir-665	ENSG00000119402
