mirnaid	ensembl_gene_id
hsa-let-7a-5p	ENSG00000137710
hsa-let-7a-5p	ENSG00000186106
hsa-let-7a-5p	ENSG00000180667
hsa-let-7a-5p	ENSG00000198625
hsa-let-7a-5p	ENSG00000148248
hsa-let-7a-5p	ENSG00000106367
hsa-let-7a-5p	ENSG00000124532
hsa-let-7a-5p	ENSG00000103202
hsa-let-7a-5p	ENSG00000149948
hsa-let-7a-5p	ENSG00000126353
hsa-let-7a-5p	ENSG00000131242
hsa-let-7a-5p	ENSG00000179361
hsa-let-7a-5p	ENSG00000122482
hsa-let-7a-5p	ENSG00000133193
hsa-let-7a-5p	ENSG00000217128
hsa-let-7a-5p	ENSG00000187109
hsa-let-7a-5p	ENSG00000174437
hsa-let-7a-5p	ENSG00000205765
hsa-let-7a-5p	ENSG00000158669
hsa-let-7a-5p	ENSG00000163214
hsa-let-7a-5p	ENSG00000188848
hsa-let-7a-5p	ENSG00000168256
hsa-let-7a-5p	ENSG00000099804
hsa-let-7a-5p	ENSG00000187772
hsa-let-7a-5p	ENSG00000197930
hsa-let-7a-5p	ENSG00000146083
hsa-let-7a-5p	ENSG00000157954
hsa-let-7a-5p	ENSG00000128510
hsa-let-7a-5p	ENSG00000086712
hsa-let-7a-5p	ENSG00000129422
hsa-let-7a-5p	ENSG00000101752
hsa-let-7a-5p	ENSG00000172840
hsa-let-7a-5p	ENSG00000131914
hsa-let-7a-5p	ENSG00000213281
hsa-let-7a-5p	ENSG00000204304
hsa-let-7a-5p	ENSG00000126003
hsa-let-7a-5p	ENSG00000221914
hsa-let-7a-5p	ENSG00000137801
hsa-let-7a-5p	ENSG00000185338
hsa-let-7a-5p	ENSG00000007968
hsa-let-7a-5p	ENSG00000161202
hsa-let-7a-5p	ENSG00000144231
hsa-let-7a-5p	ENSG00000116017
hsa-let-7a-5p	ENSG00000060982
hsa-let-7a-5p	ENSG00000153201
hsa-let-7a-5p	ENSG00000119397
hsa-let-7a-5p	ENSG00000114383
hsa-let-7a-5p	ENSG00000094916
hsa-let-7a-5p	ENSG00000259207
hsa-let-7a-5p	ENSG00000177076
hsa-let-7a-5p	ENSG00000183762
hsa-let-7a-5p	ENSG00000067715
hsa-let-7a-5p	ENSG00000082153
hsa-let-7a-5p	ENSG00000082258
hsa-let-7b-5p	ENSG00000160392
hsa-let-7b-5p	ENSG00000134690
hsa-let-7b-5p	ENSG00000180667
hsa-let-7b-5p	ENSG00000102531
hsa-let-7b-5p	ENSG00000198625
hsa-let-7b-5p	ENSG00000148200
hsa-let-7b-5p	ENSG00000091527
hsa-let-7b-5p	ENSG00000108100
hsa-let-7b-5p	ENSG00000103202
hsa-let-7b-5p	ENSG00000133193
hsa-let-7b-5p	ENSG00000131242
hsa-let-7b-5p	ENSG00000116106
hsa-let-7b-5p	ENSG00000128989
hsa-let-7b-5p	ENSG00000120519
hsa-let-7b-5p	ENSG00000118579
hsa-let-7b-5p	ENSG00000122482
hsa-let-7b-5p	ENSG00000100311
hsa-let-7b-5p	ENSG00000110092
hsa-let-7b-5p	ENSG00000092531
hsa-let-7b-5p	ENSG00000247626
hsa-let-7b-5p	ENSG00000153944
hsa-let-7b-5p	ENSG00000187109
hsa-let-7b-5p	ENSG00000078328
hsa-let-7b-5p	ENSG00000084652
hsa-let-7b-5p	ENSG00000126070
hsa-let-7b-5p	ENSG00000174840
hsa-let-7b-5p	ENSG00000185818
hsa-let-7b-5p	ENSG00000158669
hsa-let-7b-5p	ENSG00000169016
hsa-let-7b-5p	ENSG00000163214
hsa-let-7b-5p	ENSG00000176422
hsa-let-7b-5p	ENSG00000188848
hsa-let-7b-5p	ENSG00000144118
hsa-let-7b-5p	ENSG00000099804
hsa-let-7b-5p	ENSG00000100335
hsa-let-7b-5p	ENSG00000168758
hsa-let-7b-5p	ENSG00000100320
hsa-let-7b-5p	ENSG00000165449
hsa-let-7b-5p	ENSG00000198740
hsa-let-7b-5p	ENSG00000101445
hsa-let-7b-5p	ENSG00000128510
hsa-let-7b-5p	ENSG00000090857
hsa-let-7b-5p	ENSG00000114127
hsa-let-7b-5p	ENSG00000107443
hsa-let-7b-5p	ENSG00000106392
hsa-let-7b-5p	ENSG00000101752
hsa-let-7b-5p	ENSG00000172840
hsa-let-7b-5p	ENSG00000110987
hsa-let-7b-5p	ENSG00000121671
hsa-let-7b-5p	ENSG00000174799
hsa-let-7b-5p	ENSG00000078401
hsa-let-7b-5p	ENSG00000059728
hsa-let-7b-5p	ENSG00000204304
hsa-let-7b-5p	ENSG00000126003
hsa-let-7b-5p	ENSG00000137801
hsa-let-7b-5p	ENSG00000185338
hsa-let-7b-5p	ENSG00000134046
hsa-let-7b-5p	ENSG00000007968
hsa-let-7b-5p	ENSG00000166900
hsa-let-7b-5p	ENSG00000161202
hsa-let-7b-5p	ENSG00000144231
hsa-let-7b-5p	ENSG00000099194
hsa-let-7b-5p	ENSG00000144136
hsa-let-7b-5p	ENSG00000060982
hsa-let-7b-5p	ENSG00000136231
hsa-let-7b-5p	ENSG00000159388
hsa-let-7b-5p	ENSG00000214114
hsa-let-7b-5p	ENSG00000135048
hsa-let-7b-5p	ENSG00000135903
hsa-let-7b-5p	ENSG00000168495
hsa-let-7b-5p	ENSG00000118971
hsa-let-7b-5p	ENSG00000152767
hsa-let-7b-5p	ENSG00000139977
hsa-let-7b-5p	ENSG00000188997
hsa-let-7b-5p	ENSG00000171848
hsa-let-7b-5p	ENSG00000081189
hsa-let-7b-5p	ENSG00000139263
hsa-let-7b-5p	ENSG00000129422
hsa-let-7b-5p	ENSG00000082153
hsa-let-7b-5p	ENSG00000082258
hsa-let-7b-5p	ENSG00000119906
hsa-let-7c-5p	ENSG00000137710
hsa-let-7c-5p	ENSG00000180667
hsa-let-7c-5p	ENSG00000102531
hsa-let-7c-5p	ENSG00000198625
hsa-let-7c-5p	ENSG00000148248
hsa-let-7c-5p	ENSG00000103202
hsa-let-7c-5p	ENSG00000133193
hsa-let-7c-5p	ENSG00000131242
hsa-let-7c-5p	ENSG00000116106
hsa-let-7c-5p	ENSG00000065613
hsa-let-7c-5p	ENSG00000179361
hsa-let-7c-5p	ENSG00000120519
hsa-let-7c-5p	ENSG00000171552
hsa-let-7c-5p	ENSG00000122482
hsa-let-7c-5p	ENSG00000158615
hsa-let-7c-5p	ENSG00000187109
hsa-let-7c-5p	ENSG00000176994
hsa-let-7c-5p	ENSG00000084652
hsa-let-7c-5p	ENSG00000174840
hsa-let-7c-5p	ENSG00000158669
hsa-let-7c-5p	ENSG00000186106
hsa-let-7c-5p	ENSG00000156273
hsa-let-7c-5p	ENSG00000167081
hsa-let-7c-5p	ENSG00000100335
hsa-let-7c-5p	ENSG00000128595
hsa-let-7c-5p	ENSG00000128510
hsa-let-7c-5p	ENSG00000086712
hsa-let-7c-5p	ENSG00000129422
hsa-let-7c-5p	ENSG00000172840
hsa-let-7c-5p	ENSG00000116406
hsa-let-7c-5p	ENSG00000078401
hsa-let-7c-5p	ENSG00000059728
hsa-let-7c-5p	ENSG00000213281
hsa-let-7c-5p	ENSG00000204304
hsa-let-7c-5p	ENSG00000126003
hsa-let-7c-5p	ENSG00000221914
hsa-let-7c-5p	ENSG00000115808
hsa-let-7c-5p	ENSG00000137801
hsa-let-7c-5p	ENSG00000161202
hsa-let-7c-5p	ENSG00000185619
hsa-let-7c-5p	ENSG00000259207
hsa-let-7c-5p	ENSG00000171848
hsa-let-7c-5p	ENSG00000091527
hsa-let-7c-5p	ENSG00000188848
hsa-let-7c-5p	ENSG00000082153
hsa-let-7d-5p	ENSG00000137710
hsa-let-7d-5p	ENSG00000186106
hsa-let-7d-5p	ENSG00000180667
hsa-let-7d-5p	ENSG00000198625
hsa-let-7d-5p	ENSG00000148248
hsa-let-7d-5p	ENSG00000166133
hsa-let-7d-5p	ENSG00000133193
hsa-let-7d-5p	ENSG00000116106
hsa-let-7d-5p	ENSG00000106799
hsa-let-7d-5p	ENSG00000179361
hsa-let-7d-5p	ENSG00000119231
hsa-let-7d-5p	ENSG00000092847
hsa-let-7d-5p	ENSG00000102781
hsa-let-7d-5p	ENSG00000122482
hsa-let-7d-5p	ENSG00000153944
hsa-let-7d-5p	ENSG00000137309
hsa-let-7d-5p	ENSG00000165434
hsa-let-7d-5p	ENSG00000205765
hsa-let-7d-5p	ENSG00000174840
hsa-let-7d-5p	ENSG00000158669
hsa-let-7d-5p	ENSG00000165449
hsa-let-7d-5p	ENSG00000163214
hsa-let-7d-5p	ENSG00000156273
hsa-let-7d-5p	ENSG00000176422
hsa-let-7d-5p	ENSG00000221914
hsa-let-7d-5p	ENSG00000128595
hsa-let-7d-5p	ENSG00000197930
hsa-let-7d-5p	ENSG00000196428
hsa-let-7d-5p	ENSG00000168795
hsa-let-7d-5p	ENSG00000146083
hsa-let-7d-5p	ENSG00000166881
hsa-let-7d-5p	ENSG00000162402
hsa-let-7d-5p	ENSG00000128510
hsa-let-7d-5p	ENSG00000182263
hsa-let-7d-5p	ENSG00000129422
hsa-let-7d-5p	ENSG00000172840
hsa-let-7d-5p	ENSG00000121671
hsa-let-7d-5p	ENSG00000116406
hsa-let-7d-5p	ENSG00000059728
hsa-let-7d-5p	ENSG00000204304
hsa-let-7d-5p	ENSG00000115808
hsa-let-7d-5p	ENSG00000137801
hsa-let-7d-5p	ENSG00000185338
hsa-let-7d-5p	ENSG00000161202
hsa-let-7d-5p	ENSG00000187109
hsa-let-7d-5p	ENSG00000144231
hsa-let-7d-5p	ENSG00000116017
hsa-let-7d-5p	ENSG00000185619
hsa-let-7d-5p	ENSG00000159217
hsa-let-7d-5p	ENSG00000094916
hsa-let-7d-5p	ENSG00000084652
hsa-let-7d-5p	ENSG00000100364
hsa-let-7d-5p	ENSG00000139977
hsa-let-7d-5p	ENSG00000171848
hsa-let-7d-5p	ENSG00000242265
hsa-let-7d-5p	ENSG00000110321
hsa-let-7d-5p	ENSG00000139263
hsa-let-7d-5p	ENSG00000086712
hsa-let-7d-5p	ENSG00000082153
hsa-let-7d-5p	ENSG00000082258
hsa-let-7e-5p	ENSG00000198625
hsa-let-7e-5p	ENSG00000072501
hsa-let-7e-5p	ENSG00000103202
hsa-let-7e-5p	ENSG00000133193
hsa-let-7e-5p	ENSG00000140443
hsa-let-7e-5p	ENSG00000067715
hsa-let-7e-5p	ENSG00000092847
hsa-let-7e-5p	ENSG00000136490
hsa-let-7e-5p	ENSG00000102781
hsa-let-7e-5p	ENSG00000122482
hsa-let-7e-5p	ENSG00000158615
hsa-let-7e-5p	ENSG00000186017
hsa-let-7e-5p	ENSG00000100311
hsa-let-7e-5p	ENSG00000110092
hsa-let-7e-5p	ENSG00000124762
hsa-let-7e-5p	ENSG00000153944
hsa-let-7e-5p	ENSG00000187109
hsa-let-7e-5p	ENSG00000176994
hsa-let-7e-5p	ENSG00000084652
hsa-let-7e-5p	ENSG00000205765
hsa-let-7e-5p	ENSG00000174840
hsa-let-7e-5p	ENSG00000185818
hsa-let-7e-5p	ENSG00000158669
hsa-let-7e-5p	ENSG00000156273
hsa-let-7e-5p	ENSG00000188848
hsa-let-7e-5p	ENSG00000138074
hsa-let-7e-5p	ENSG00000100364
hsa-let-7e-5p	ENSG00000166900
hsa-let-7e-5p	ENSG00000100320
hsa-let-7e-5p	ENSG00000197930
hsa-let-7e-5p	ENSG00000196428
hsa-let-7e-5p	ENSG00000168795
hsa-let-7e-5p	ENSG00000179364
hsa-let-7e-5p	ENSG00000128510
hsa-let-7e-5p	ENSG00000166135
hsa-let-7e-5p	ENSG00000182263
hsa-let-7e-5p	ENSG00000136731
hsa-let-7e-5p	ENSG00000129422
hsa-let-7e-5p	ENSG00000172840
hsa-let-7e-5p	ENSG00000131914
hsa-let-7e-5p	ENSG00000059728
hsa-let-7e-5p	ENSG00000126003
hsa-let-7e-5p	ENSG00000069702
hsa-let-7e-5p	ENSG00000127334
hsa-let-7e-5p	ENSG00000185338
hsa-let-7e-5p	ENSG00000125657
hsa-let-7e-5p	ENSG00000134046
hsa-let-7e-5p	ENSG00000161202
hsa-let-7e-5p	ENSG00000099194
hsa-let-7e-5p	ENSG00000185619
hsa-let-7e-5p	ENSG00000159217
hsa-let-7e-5p	ENSG00000094916
hsa-let-7e-5p	ENSG00000157224
hsa-let-7e-5p	ENSG00000168495
hsa-let-7e-5p	ENSG00000017427
hsa-let-7e-5p	ENSG00000188811
hsa-let-7e-5p	ENSG00000171848
hsa-let-7e-5p	ENSG00000206557
hsa-let-7e-5p	ENSG00000121671
hsa-let-7e-5p	ENSG00000128595
hsa-let-7e-5p	ENSG00000086712
hsa-let-7e-5p	ENSG00000197562
