mirbase_id	ensembl_gene_id
hsa-mir-107	ENSG00000105810
hsa-mir-107	ENSG00000134852
hsa-mir-107	ENSG00000100697
hsa-mir-107	ENSG00000127334
hsa-mir-107	ENSG00000038427
hsa-mir-107	ENSG00000181690
hsa-mir-107	ENSG00000148842
hsa-mir-107	ENSG00000132964
hsa-mir-107	ENSG00000151292
hsa-mir-107	ENSG00000129315
hsa-mir-107	ENSG00000091527
hsa-mir-107	ENSG00000076108
hsa-mir-107	ENSG00000092847
hsa-mir-107	ENSG00000197872
hsa-mir-107	ENSG00000169612
hsa-mir-107	ENSG00000122257
hsa-mir-107	ENSG00000146676
hsa-mir-107	ENSG00000093000
hsa-mir-107	ENSG00000079102
hsa-mir-107	ENSG00000145675
hsa-mir-107	ENSG00000147162
hsa-mir-107	ENSG00000186265
hsa-mir-107	ENSG00000138757
hsa-mir-107	ENSG00000139718
hsa-mir-107	ENSG00000126775
hsa-mir-107	ENSG00000128595
hsa-mir-107	ENSG00000100221
hsa-mir-107	ENSG00000107864
hsa-mir-107	ENSG00000132424
hsa-mir-107	ENSG00000135932
hsa-mir-107	ENSG00000264522
hsa-mir-107	ENSG00000109171
hsa-mir-107	ENSG00000179562
hsa-mir-107	ENSG00000133657
hsa-mir-107	ENSG00000158711
hsa-mir-107	ENSG00000138685
hsa-mir-107	ENSG00000103449
hsa-mir-107	ENSG00000107295
hsa-mir-107	ENSG00000164930
hsa-mir-107	ENSG00000143322
hsa-mir-107	ENSG00000138071
hsa-mir-107	ENSG00000065135
hsa-mir-107	ENSG00000077514
hsa-mir-107	ENSG00000182831
hsa-mir-107	ENSG00000115216
hsa-mir-107	ENSG00000105173
hsa-mir-107	ENSG00000173267
hsa-mir-107	ENSG00000196233
hsa-mir-107	ENSG00000173674
hsa-mir-107	ENSG00000083896
hsa-mir-107	ENSG00000119414
hsa-mir-107	ENSG00000224470
hsa-mir-107	ENSG00000118513
hsa-mir-1179	ENSG00000069667
hsa-mir-1182	ENSG00000180357
hsa-mir-1182	ENSG00000121060
hsa-mir-1183	ENSG00000170871
hsa-mir-1183	ENSG00000165209
hsa-mir-1193	ENSG00000126067
hsa-mir-1193	ENSG00000138443
hsa-mir-1193	ENSG00000176490
hsa-mir-1193	ENSG00000205476
hsa-mir-1193	ENSG00000101966
hsa-mir-1197	ENSG00000082153
hsa-mir-1200	ENSG00000116209
hsa-mir-1200	ENSG00000128989
hsa-mir-1200	ENSG00000170006
hsa-mir-1200	ENSG00000147649
hsa-mir-1200	ENSG00000105327
hsa-mir-1200	ENSG00000169926
hsa-mir-1200	ENSG00000148229
hsa-mir-1200	ENSG00000132475
hsa-mir-1200	ENSG00000139629
hsa-mir-1200	ENSG00000137094
hsa-mir-1200	ENSG00000188375
hsa-mir-1202	ENSG00000213463
hsa-mir-1202	ENSG00000125869
hsa-mir-1202	ENSG00000169155
hsa-mir-1205	ENSG00000148200
hsa-mir-1205	ENSG00000160404
hsa-mir-1205	ENSG00000213066
hsa-mir-1205	ENSG00000064999
hsa-mir-1205	ENSG00000139697
hsa-mir-1205	ENSG00000186591
hsa-mir-1205	ENSG00000099942
hsa-mir-1205	ENSG00000073921
hsa-mir-1208	ENSG00000104885
hsa-mir-1208	ENSG00000069275
hsa-mir-1208	ENSG00000100811
hsa-mir-1208	ENSG00000135535
hsa-mir-1231	ENSG00000134532
hsa-mir-1231	ENSG00000135472
hsa-mir-1243	ENSG00000138593
hsa-mir-1245a	ENSG00000160991
hsa-mir-1248	ENSG00000079308
hsa-mir-1248	ENSG00000164463
hsa-mir-1248	ENSG00000205269
hsa-mir-1253	ENSG00000099954
hsa-mir-1253	ENSG00000188529
hsa-mir-1253	ENSG00000169641
hsa-mir-1253	ENSG00000101266
hsa-mir-1253	ENSG00000215475
hsa-mir-1253	ENSG00000124766
hsa-mir-1253	ENSG00000169057
hsa-mir-1253	ENSG00000141448
hsa-mir-1255a	ENSG00000164924
hsa-mir-1255a	ENSG00000128039
hsa-mir-1256	ENSG00000139800
hsa-mir-1256	ENSG00000101109
hsa-mir-1257	ENSG00000204604
hsa-mir-1257	ENSG00000184517
hsa-mir-1257	ENSG00000142864
hsa-mir-1257	ENSG00000053254
hsa-mir-1257	ENSG00000008294
hsa-mir-1257	ENSG00000090612
hsa-mir-1260a	ENSG00000131437
hsa-mir-1260a	ENSG00000137413
hsa-mir-1260a	ENSG00000143614
hsa-mir-1260a	ENSG00000196428
