ensembl_gene_id	entrezgene_id	entrezgene_accession
ENSG00000097007	25	ABL1
ENSG00000278540	31	ACACA
ENSG00000075624	60	ACTB
ENSG00000139567	94	ACVRL1
ENSG00000160710	103	ADAR
ENSG00000143799	142	PARP1
ENSG00000101384	182	JAG1
ENSG00000142208	207	AKT1
ENSG00000105221	208	AKT2
ENSG00000135046	301	ANXA1
ENSG00000138279	310	ANXA7
ENSG00000023445	330	BIRC3
ENSG00000101966	331	XIAP
ENSG00000169083	367	AR
ENSG00000078061	369	ARAF
ENSG00000070669	440	ASNS
ENSG00000149311	472	ATM
ENSG00000152234	498	ATP5F1A
ENSG00000175054	545	ATR
ENSG00000085224	546	ATRX
ENSG00000002330	572	BAD
ENSG00000030110	578	BAK1
ENSG00000087088	581	BAX
ENSG00000110092	595	CCND1
ENSG00000171791	596	BCL2
ENSG00000140379	597	BCL2A1
ENSG00000171552	598	BCL2L1
ENSG00000015475	637	BID
ENSG00000157764	673	BRAF
ENSG00000139618	675	BRCA2
ENSG00000127022	821	CANX
ENSG00000164305	836	CASP3
ENSG00000165806	840	CASP7
ENSG00000064012	841	CASP8
ENSG00000105974	857	CAV1
ENSG00000134057	891	CCNB1
ENSG00000112576	896	CCND3
ENSG00000105173	898	CCNE1
ENSG00000010610	920	CD4
ENSG00000156738	931	MS4A1
ENSG00000114013	942	CD86
ENSG00000004468	952	CD38
ENSG00000026508	960	CD44
ENSG00000170312	983	CDK1
ENSG00000094804	990	CDC6
ENSG00000158402	995	CDC25C
ENSG00000070831	998	CDC42
ENSG00000039068	999	CDH1
ENSG00000170558	1000	CDH2
ENSG00000062038	1001	CDH3
ENSG00000124762	1026	CDKN1A
ENSG00000111276	1027	CDKN1B
ENSG00000147889	1029	CDKN2A
ENSG00000149554	1111	CHEK1
ENSG00000142156	1291	COL6A1
ENSG00000131143	1327	COX4I1
ENSG00000181885	1366	CLDN7
ENSG00000118260	1385	CREB1
ENSG00000112062	1432	MAPK14
ENSG00000103653	1445	CSK
ENSG00000168036	1499	CTNNB1
ENSG00000196730	1612	DAPK1
ENSG00000167986	1642	DDB1
ENSG00000181019	1728	NQO1
ENSG00000150768	1737	DLAT
ENSG00000130816	1786	DNMT1
ENSG00000197635	1803	DPP4
ENSG00000120875	1846	DUSP4
ENSG00000139318	1848	DUSP6
ENSG00000161202	1857	DVL3
ENSG00000167658	1938	EEF2
ENSG00000146648	1956	EGFR
ENSG00000142627	1969	EPHA2
ENSG00000151247	1977	EIF4E
ENSG00000187840	1978	EIF4EBP1
ENSG00000114867	1981	EIF4G1
ENSG00000126767	2002	ELK1
ENSG00000074800	2023	ENO1
ENSG00000111674	2026	ENO2
ENSG00000141736	2064	ERBB2
ENSG00000065361	2065	ERBB3
ENSG00000012061	2067	ERCC1
ENSG00000175595	2072	ERCC4
ENSG00000134899	2073	ERCC5
ENSG00000173153	2101	ESRRA
ENSG00000134954	2113	ETS1
ENSG00000085276	2122	MECOM
ENSG00000151726	2180	ACSL1
ENSG00000120899	2185	PTK2B
ENSG00000169710	2194	FASN
ENSG00000138685	2247	FGF2
ENSG00000111206	2305	FOXM1
ENSG00000118689	2309	FOXO3
ENSG00000120215	2315	MLANA
ENSG00000115414	2335	FN1
ENSG00000198793	2475	MTOR
ENSG00000160211	2539	G6PD
ENSG00000111640	2597	GAPDH
ENSG00000107485	2625	GATA3
ENSG00000152661	2697	GJA1
ENSG00000001084	2729	GCLC
ENSG00000023909	2730	GCLM
ENSG00000111087	2735	GLI1
ENSG00000106571	2737	GLI3
ENSG00000115419	2744	GLS
ENSG00000148672	2746	GLUD1
ENSG00000141738	2886	GRB7
ENSG00000113580	2908	NR3C1
ENSG00000082701	2932	GSK3B
ENSG00000116062	2956	MSH6
ENSG00000100453	3002	GZMB
ENSG00000188486	3014	H2AX
ENSG00000276410	3018	H2BC3
ENSG00000157168	3084	NRG1
ENSG00000156515	3098	HK1
ENSG00000159399	3099	HK2
ENSG00000196735	3117	HLA-DQA1
ENSG00000153029	3140	MR1
ENSG00000114315	3280	HES1
ENSG00000204389	3303	HSPA1A
ENSG00000044574	3309	HSPA5
ENSG00000113013	3313	HSPA9
ENSG00000106211	3315	HSPB1
ENSG00000144381	3329	HSPD1
ENSG00000140443	3480	IGF1R
ENSG00000115457	3485	IGFBP2
ENSG00000146674	3486	IGFBP3
ENSG00000136244	3569	IL6
ENSG00000131203	3620	IDO1
ENSG00000171105	3643	INSR
ENSG00000125347	3659	IRF1
ENSG00000126456	3661	IRF3
ENSG00000169047	3667	IRS1
ENSG00000164171	3673	ITGA2
ENSG00000150093	3688	ITGB1
ENSG00000096968	3717	JAK2
ENSG00000177606	3725	JUN
ENSG00000128052	3791	KDR
ENSG00000157404	3815	KIT
ENSG00000198910	3897	L1CAM
ENSG00000159166	3898	LAD1
ENSG00000117632	3925	STMN1
ENSG00000182866	3932	LCK
ENSG00000174405	3981	LIG4
ENSG00000070018	4040	LRP6
ENSG00000254087	4067	LYN
ENSG00000170365	4086	SMAD1
