logFC	AveExpr	t	P.Value	adj.P.Val	B
3140	-1.16861255713572	0.0755246866888024	-13.9418990056902	1.13105108644582e-38	4.17357850898507e-36	77.0469228276426
7416	-0.848463365636157	0.0667238558301785	-13.6418098426521	2.74991312957786e-37	5.07358972407116e-35	73.8905159126967
56893	-0.635963667738454	0.0556102400689884	-12.1132979905598	1.71690793797158e-30	1.85789865170701e-28	58.4215962705066
6774	1.75691579236159	-0.0360784449284436	12.0971383580256	2.01398227827318e-30	1.85789865170701e-28	58.2639153523964
10476	-1.10830861520669	0.327621559026168	-11.8969099481225	1.43924490158002e-29	1.06216273736605e-27	56.3210260484454
51441	1.6380953007684	-0.316079444194561	11.5723305159532	3.34028423986833e-28	2.05427480751902e-26	53.2151690710741
2932	1.29032011695966	-0.124276267541618	11.5204693607855	5.49262259509552e-28	2.89539676798607e-26	52.7240277224123
9474	1.09139543040521	-0.101156179389746	11.1178792959295	2.48466114772931e-26	1.14604995439014e-24	48.9606434152207
7706	1.32295211194667	-0.149352240919496	10.8375655299087	3.35062309797074e-25	1.373755470168e-23	46.3931981176754
7507	-1.43185581493259	0.218737426163431	-10.3225156663638	3.55053728025019e-23	1.31014825641232e-21	41.7937406338632
10606	1.20509617860376	-0.111545733949702	10.2037121355427	1.0181235785816e-22	3.41534182269647e-21	40.75516671666
1786	1.46974381785772	-0.122061764898481	10.0991872334927	2.5542639664763e-22	7.85436169691462e-21	39.8485133741897
7293	-0.681538159082401	0.23499290401515	-10.0779912191165	3.07552806388636e-22	8.72976811980051e-21	39.6654748268866
7277	-0.801168613875131	-0.0216307441632044	-9.86821494252351	1.90411640614546e-21	5.01870681334053e-20	37.8689532094659
23604	-0.562241337349007	0.0341141334906845	-9.83922597469938	2.44443872235633e-21	6.01331925699658e-20	37.6228529928353
2730	-0.5359934723236	0.0188624083464756	-9.82342514292026	2.80036711339173e-21	6.45834665525968e-20	37.4889354204367
4170	0.870949508805025	-0.0608684565955966	9.72689844870874	6.4030818377934e-21	1.38984541067398e-19	36.6742647327162
3117	1.66526207112284	0.0190550893426363	9.66746975832312	1.06232187682203e-20	2.17775984748516e-19	36.1756402118151
6118	0.772255624544739	-0.0561921301542572	9.45863631247835	6.18212311294725e-20	1.20063338351449e-18	34.4414617423337
9589	1.14898651630087	-0.159977568789689	9.3004355698736	2.30384193441706e-19	4.25058836899948e-18	33.1466357021343
10059	0.88228782282848	-0.0812868970661827	9.26725250114545	3.02963046801622e-19	5.32349353665708e-18	32.8771329532999
2735	2.46343978525427	-0.650231701054089	9.22157598638254	4.41157553583202e-19	7.39941533055462e-18	32.5073563460722
54890	1.06891990509398	-0.174950637526703	9.20327939584767	5.12626564132159e-19	8.22431313759855e-18	32.359624460833
5291	-0.409926584085348	0.0104796348542065	-8.955967992788	3.81714233663172e-18	5.86885634257127e-17	30.3847952484695
4854	-0.42219836008408	-0.0345921999471595	-8.83719804661039	9.86630592358509e-18	1.45626675432116e-16	29.4511385505774
1327	0.835523891871861	-0.111089677561707	8.73220383346968	2.26607113376854e-17	3.21607787830997e-16	28.6338462095035
7291	-0.426124382333978	-0.0178043888018385	-8.70306342581017	2.85049068677295e-17	3.89567060525636e-16	28.4083649110827
4709	1.35567324301664	0.0645626458608095	8.56571592957343	8.33996982654158e-17	1.09908888071209e-15	27.3535747827012
10131	1.28992337299132	-0.254805404722153	8.54427598458033	9.84995098334862e-17	1.25332134926057e-15	27.1901148103486
6422	-0.723125709108433	0.064055595669989	-8.46624401498741	1.80007594674346e-16	2.21409341449445e-15	26.5979292767661
3098	0.704791139325469	0.0427926379965157	8.3550999033132	4.21764607399882e-16	5.02035935905021e-15	25.7619106739709
857	-1.8626143091848	0.20074572208	-8.34077960209184	4.7037020378105e-16	5.42395641235023e-15	25.654834829909
597	-0.592275220224691	0.322972370032	-8.25581975895249	8.95738055614932e-16	1.00159800764215e-14	25.0225961598125
55669	0.791637662790663	-0.00323608172672958	8.11187428677896	2.63664445102664e-15	2.86153471302597e-14	23.9632951961652
2737	-0.689137243663805	0.0714369658185518	-8.09389508925696	3.0141336367059e-15	3.16054367913726e-14	23.8320423971968
5163	-0.423189039498699	0.0143961360379792	-8.09083658170652	3.08345724793879e-15	3.16054367913726e-14	23.8097379575357
546	1.28591966498834	-0.209554459564786	8.05946349314583	3.89195536349283e-15	3.88143656521312e-14	23.5813412444214
1445	0.458218049777976	0.0413741237816245	8.05088828626335	4.14721099438156e-15	4.02716014980736e-14	23.5190387571983
11035	-0.415533178524389	0.00405355484545872	-7.92359471108143	1.05820975114255e-14	1.00122922608103e-13	22.6005446452159
182	-0.472483708440939	0.0313575917817252	-7.8411552282511	1.92890294131617e-14	1.77941296336417e-13	22.0120780775091
6195	1.06601295442325	-0.195407030369181	7.83056918443808	2.08274248951838e-14	1.87446824056654e-13	21.9368785414834
4609	-0.952520717452717	0.321278264368	-7.64599921666145	7.8327975873906e-14	6.8816721660646e-13	20.6392143607512
1642	0.637030798876221	-0.046557948823161	7.55496359283264	1.49152768008349e-13	1.27993886965304e-12	20.0086044250882
253943	1.09352798833731	-0.369903871118439	7.53947678962317	1.66321700255366e-13	1.39483425895977e-12	19.901951215818
29086	0.595105598403724	-0.0885029497026435	7.43968068508386	3.34188237386586e-13	2.74034354657e-12	19.2190633899186
5428	0.626228563255708	0.00240085305412528	7.37756684276028	5.14003487298567e-13	4.12320188724285e-12	18.7978732853176
6657	-0.523695339159376	-0.0210504995731418	-7.37358983779982	5.28317008896211e-13	4.14785055920642e-12	18.7710063283022
9927	0.903794862009404	0.0405042403601676	7.36513963407223	5.60044703581337e-13	4.30534365878153e-12	18.7139607080841
5395	0.756292846313042	-0.0429625837992732	7.32064618970626	7.60672399521936e-13	5.7283288861958e-12	18.4145011869738
5058	1.20421294692934	-0.0862856985636779	7.24959657173632	1.23648187731843e-12	9.12523625461001e-12	17.9394764948719
10643	-0.394534126258455	-0.0855004439018849	-7.23059572998426	1.40711763878677e-12	1.01809099747514e-11	17.8131029051569
8569	0.59567326167825	-0.0624903503903267	7.22696451783326	1.4422684937075e-12	1.0234559118809e-11	17.7889837965449
9451	0.649057597731804	-0.000578651837691915	7.20403832857686	1.68500219651911e-12	1.17314303870859e-11	17.636940788125
3898	0.922001482028506	-0.13899389681527	7.18174135929699	1.95944728304211e-12	1.33895564341211e-11	17.4894627976461
6446	-0.471697435958964	0.178928302651163	-7.14045196801279	2.58851871863537e-12	1.73666074032082e-11	17.2173869500765
55626	-0.364633118895987	-0.0161788746725083	-7.11046852154456	3.1659455521813e-12	2.08613197991946e-11	17.0206458967692
3661	0.511289985016138	-0.0957214632423066	7.08556224461096	3.74040915793727e-12	2.42142277066466e-11	16.8577544457205
6935	-0.481240520145738	0.229859647045445	-7.07052602658028	4.13558564881242e-12	2.6093094131352e-11	16.7596503078908
1737	-0.354796095863802	-0.0203083979951559	-7.06920993101824	4.17206654132729e-12	2.6093094131352e-11	16.7510718557087
4323	1.11703465246543	0.0274054071902103	7.02889931871445	5.4562660733631e-12	3.35560363511831e-11	16.4889820437405
3569	-0.844815432344794	0.168582636658179	-6.96650965489214	8.24516459867302e-12	4.98764874903335e-11	16.0858621355987
6389	-0.569071621184262	0.107587094811338	-6.89412691675184	1.32611369626531e-11	7.89251538583708e-11	15.6220290777306
5727	-0.313135863155828	0.000544367084304719	-6.70565115332105	4.48378048831336e-11	2.62621428601211e-10	14.4338326320897
2072	-0.333493207597432	0.142768411796888	-6.69122916271274	4.91619863918668e-11	2.83449577790607e-10	14.3440844744217
4582	2.68923453919585	0.198078725345485	6.66558987724561	5.78813725711029e-11	3.28588099672877e-10	14.1849442340551
79068	0.620564472439572	-0.156364774310598	6.65379224071502	6.23866078236462e-11	3.48797852832203e-10	14.1118954756414
23526	1.18254615338342	0.137529707391645	6.57084467093531	1.05345266623888e-10	5.8018512513753e-10	13.601472802012
7301	-0.655911106670824	0.169287258418073	-6.53748293483887	1.29854807405958e-10	7.0465329312939e-10	13.3977503491292
4137	-0.487927114209194	-0.016079858409857	-6.53285836359931	1.33665801628568e-10	7.14821460883214e-10	13.3695818402313
4292	0.570221606467038	-0.214138106176925	6.51734025509014	1.47271951279666e-10	7.76333571745669e-10	13.2751872213385
23476	0.743607488710181	-0.36813484672	6.48591177440518	1.79113681241741e-10	9.30886596876088e-10	13.0846120301073
9557	0.665931323213944	-0.157587454960338	6.47414727976522	1.9269117749336e-10	9.8754228465347e-10	13.0134817319634
10105	1.06165027179975	-0.185247239237488	6.46855548714513	1.99493202688247e-10	1.00839714783511e-09	12.9797122881999
91607	-0.59188542154064	-0.00665068709115789	-6.4641084784328	2.05070027084308e-10	1.02257891883932e-09	12.9528745252793
8678	-0.323607552553616	0.072589470736	-6.44205933891427	2.35055710183399e-10	1.15647409410232e-09	12.8200460580119
2746	0.843087646774389	0.0450143575570419	6.35000027320113	4.13812267815246e-10	2.00916745820823e-09	12.2697608724306
340061	0.910568766194116	0.0252737189833375	6.23119495490465	8.50023959778444e-10	4.07349144361358e-09	11.5698955981993
5335	0.896242946711459	-0.149208073440894	6.16771623852813	1.24291937714292e-09	5.87996474571456e-09	11.2007332425412
6275	-0.641111043733824	0.125895116954676	-6.13788380296605	1.48423326462154e-09	6.93268448918161e-09	11.0283969939363
