genes	logFC	logCPM	PValue	FDR	symbol	entrez
ENSG00000022267.19	ENSG00000022267.19	-4.51303219314395	7.04497321703263	0	0	FHL1	2273
ENSG00000119927.14	ENSG00000119927.14	-4.19128832870823	6.27163443218959	0	0	GPAM	57678
ENSG00000133800.9	ENSG00000133800.9	-4.94174095872348	3.85067213944068	0	0	LYVE1	10894
ENSG00000056998.20	ENSG00000056998.20	-3.94383233257713	5.20489928936938	2.08843511828035e-272	1.00860974037349e-268	GYG2	8908
ENSG00000163815.6	ENSG00000163815.6	-3.81852048121856	3.00289828904157	5.78058254962621e-270	2.23338587387358e-266	CLEC3B	7123
ENSG00000123612.16	ENSG00000123612.16	-4.93698113027954	3.24820242569825	2.23090671686336e-268	7.18277599272772e-265	ACVR1C	130399
ENSG00000079308.19	ENSG00000079308.19	-2.89812289754432	8.00587616014235	9.77089816487678e-266	2.696488724987e-262	TNS1	7145
ENSG00000095637.22	ENSG00000095637.22	-3.51625352391546	6.82028797179898	1.46633562212089e-262	3.21345254634771e-259	SORBS1	10580
ENSG00000134962.7	ENSG00000134962.7	-4.39155582393508	2.54552960312421	1.49710492375657e-262	3.21345254634771e-259	KLB	152831
ENSG00000120049.20	ENSG00000120049.20	-4.6915493938911	3.65455281496802	1.29521439443148e-260	2.50209516716273e-257	KCNIP2	30819
ENSG00000105974.13	ENSG00000105974.13	-3.21226131064537	7.25037709534574	1.79321292072985e-258	3.14920792751448e-255	CAV1	857
ENSG00000131471.7	ENSG00000131471.7	-3.74130679791077	6.32432461237087	4.72347208339402e-248	7.60400280891714e-245	AOC3	8639
ENSG00000244734.4	ENSG00000244734.4	-4.86926710913004	5.05645731856507	2.27981055592128e-244	3.38779848609903e-241	HBB	3043
ENSG00000173641.18	ENSG00000173641.18	-4.47750236827195	3.73067351394807	9.22926664906379e-234	1.27350695090439e-230	HSPB7	27129
ENSG00000172901.20	ENSG00000172901.20	-4.7362206528346	1.35369542963262	4.52127014404242e-229	5.82279310950744e-226	LVRN	206338
ENSG00000175445.17	ENSG00000175445.17	-4.42404349132418	7.04587551857997	7.02544545185874e-227	8.48234720243794e-224	LPL	4023
ENSG00000181856.15	ENSG00000181856.15	-4.05265006056011	1.96659325193305	3.45743957919185e-226	3.92887163475459e-223	SLC2A4	6517
ENSG00000169418.10	ENSG00000169418.10	-3.27554647998826	4.29763444812981	1.03598521288985e-221	1.11184235236701e-218	NPR1	4881
ENSG00000170145.5	ENSG00000170145.5	-2.32214674493513	5.99946958637533	3.37902547689598e-214	3.43557969277245e-211	SIK2	23235
ENSG00000123243.15	ENSG00000123243.15	-3.7525805280209	5.68628406390569	3.4875201002459e-208	3.20818634745478e-205	ITIH5	80760
ENSG00000076555.15	ENSG00000076555.15	-3.35701243629422	5.96644354540877	9.65235468523179e-204	8.47564490042308e-201	ACACB	32
ENSG00000105971.15	ENSG00000105971.15	-2.75077849192831	5.59873654614449	1.18091097771776e-201	9.50534927814657e-199	CAV2	858
ENSG00000138640.15	ENSG00000138640.15	-2.40794296749108	4.66428253324914	6.91498319627616e-199	5.34334581542652e-196	FAM13A	10144
ENSG00000183549.10	ENSG00000183549.10	-3.48473995581658	1.65614422313798	1.8971602263487e-196	1.40959004817708e-193	ACSM5	54988
ENSG00000101605.13	ENSG00000101605.13	-3.18366607391604	2.49936776984919	7.72390991440429e-195	5.52631450838748e-192	MYOM1	8736
ENSG00000079435.10	ENSG00000079435.10	-4.08359200108041	5.69976393368327	1.92136790583509e-194	1.32560661446151e-191	LIPE	3991
ENSG00000148180.21	ENSG00000148180.21	-2.37164128783274	9.36009461203234	7.30447072375091e-189	4.86578501522138e-186	GSN	2934
ENSG00000132170.23	ENSG00000132170.23	-3.18613284471491	4.15511273109687	2.87978166637313e-187	1.85438740769987e-184	PPARG	5468
ENSG00000099260.11	ENSG00000099260.11	-2.76525129215967	5.42497989645762	1.78486238579849e-185	1.11225714738242e-182	PALMD	54873
ENSG00000108960.9	ENSG00000108960.9	-2.70215956830265	4.95187229432815	5.06645095349327e-185	3.05855310998697e-182	MMD	23531
ENSG00000164330.17	ENSG00000164330.17	-2.86632382893164	4.37382107993808	1.4069488266826e-184	8.23619316177407e-182	EBF1	1879
ENSG00000165197.5	ENSG00000165197.5	-4.61586710121047	2.18264526604521	3.67674610858317e-184	2.08904062722381e-181	VEGFD	2277
ENSG00000211445.12	ENSG00000211445.12	-3.59505220784427	7.30533329467053	4.46630883957828e-183	2.46514726179924e-180	GPX3	2878
ENSG00000149090.12	ENSG00000149090.12	-3.42289439529201	3.79912540893041	1.14637277545141e-182	6.15156368782511e-180	PAMR1	25891
ENSG00000176438.12	ENSG00000176438.12	-2.88265921968321	4.57819267393408	1.86972228077922e-182	9.76197162705216e-180	SYNE3	161176
ENSG00000168477.19	ENSG00000168477.19	-3.84901813332877	5.42948453834473	4.06518640147623e-181	2.0666123922031e-178	TNXB	7148
ENSG00000115306.16	ENSG00000115306.16	-1.99169995627548	8.53046139901308	1.35124752274646e-180	6.69317939600411e-178	SPTBN1	6711
ENSG00000118596.12	ENSG00000118596.12	-3.14107020343787	3.69250994584343	4.8969770862298e-179	2.36499508379468e-176	SLC16A7	9194
ENSG00000165810.17	ENSG00000165810.17	-3.68748313609791	4.19237014003103	1.10037063215249e-178	5.18462435900531e-176	BTNL9	153579
ENSG00000135437.10	ENSG00000135437.10	-3.73036839373907	0.557745488683435	1.6323951871392e-178	7.50824052979882e-176	RDH5	5959
ENSG00000186642.16	ENSG00000186642.16	-2.92263714144259	3.85613609568234	5.06891933156223e-178	2.27724148016556e-175	PDE2A	5138
ENSG00000174804.4	ENSG00000174804.4	-2.52159734768226	6.07038016582904	4.73038943459776e-172	2.07685597948999e-169	FZD4	8322
ENSG00000135424.18	ENSG00000135424.18	-3.22942652421576	4.86379704667491	6.48388638684463e-172	2.78346038269032e-169	ITGA7	3679
ENSG00000124743.6	ENSG00000124743.6	-3.23621429384825	2.07752542083894	2.05516991585808e-171	8.6308200944666e-169	KLHL31	401265
ENSG00000165028.12	ENSG00000165028.12	-2.60373577021587	2.32875512656563	5.48278298259521e-170	2.25354046080371e-167	NIPSNAP3B	55335
ENSG00000077616.11	ENSG00000077616.11	-2.73432924090774	1.01645393128306	7.17676040325967e-170	2.88834703062855e-167	NAALAD2	10003
ENSG00000154736.6	ENSG00000154736.6	-3.04254007840002	4.71764528724622	3.06468144362922e-169	1.208235023021e-166	ADAMTS5	11096
ENSG00000152270.9	ENSG00000152270.9	-3.57041899963935	3.9089547161066	1.19982055586577e-168	4.63562669964298e-166	PDE3B	5140
ENSG00000166819.12	ENSG00000166819.12	-4.94957675394553	7.03435976481815	3.77767219535631e-167	1.43092296999791e-164	PLIN1	5346
ENSG00000135917.16	ENSG00000135917.16	-4.74944188942889	4.22968141364231	1.01513903440956e-166	3.7712415128315e-164	SLC19A3	80704
ENSG00000173208.4	ENSG00000173208.4	-3.74059303492602	1.85885079837531	1.26835534155382e-163	4.62303556379939e-161	ABCD2	225
ENSG00000122729.19	ENSG00000122729.19	-1.87930370827301	5.97062554466036	1.3793051940456e-162	4.93433661825423e-160	ACO1	48
ENSG00000170509.12	ENSG00000170509.12	-4.37162294916182	-0.00248207898147825	1.17701110637799e-161	4.13409100963817e-159	HSD17B13	345275
ENSG00000180354.16	ENSG00000180354.16	-2.41939098217685	5.83659930545717	1.04449442550974e-160	3.60313273428522e-158	MTURN	222166
ENSG00000116678.20	ENSG00000116678.20	-2.96184835467696	4.39820215669347	9.25087839029703e-160	3.13523629375014e-157	LEPR	3953
ENSG00000168497.5	ENSG00000168497.5	-3.6413998557868	4.37268586945012	9.64297705943258e-159	3.2117763936917e-156	CAVIN2	8436
ENSG00000137727.12	ENSG00000137727.12	-2.95202392106175	2.24653793082848	9.89868938575904e-159	3.24106578905242e-156	ARHGAP20	57569
ENSG00000144908.14	ENSG00000144908.14	-4.32334110221272	2.84628762020899	1.16624952868048e-158	3.75493473250827e-156	ALDH1L1	10840
ENSG00000174697.5	ENSG00000174697.5	-5.78792306335026	5.17424365504579	3.15786981536815e-158	1.00006113267675e-155	LEP	3952
ENSG00000167779.9	ENSG00000167779.9	-3.02804089223266	4.29308311095196	4.62823178141919e-158	1.44206744441058e-155	IGFBP6	3489
ENSG00000167588.13	ENSG00000167588.13	-4.83241773537624	6.25509997274922	2.14038113417029e-156	6.56315599204788e-154	GPD1	2819
ENSG00000163710.9	ENSG00000163710.9	-4.48968457835555	4.14249777961839	1.48450873495074e-155	4.48089683465289e-153	PCOLCE2	26577
ENSG00000167676.4	ENSG00000167676.4	-4.74408667901165	7.78144865629707	2.01372517842534e-155	5.9847912302801e-153	PLIN4	729359
ENSG00000121691.7	ENSG00000121691.7	-1.8998654748176	6.82262267941502	5.7616495391417e-155	1.68641736056272e-152	CAT	847
ENSG00000165269.13	ENSG00000165269.13	-4.68263638202675	3.78774227919023	2.99208809863392e-154	8.50017027785443e-152	AQP7	364
ENSG00000145708.11	ENSG00000145708.11	-3.32869851724379	0.16369707296398	2.19604375420278e-153	6.14828597734628e-151	CRHBP	1393
ENSG00000168079.17	ENSG00000168079.17	-4.7747301456561	3.89846727051262	3.5996809267781e-153	9.93409087764275e-151	SCARA5	286133
