logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol	entrez
ENSG00000123500.10	7.61326902076074	7.85059409167331	31.9530116440421	1.01200253698694e-147	1.95498650095138e-143	326.834200232552	COL10A1	1300
ENSG00000117650.13	4.856283117259	6.2724217641678	30.7809366569135	2.55281743167537e-140	2.46576635725524e-136	309.862708472139	NEK2	4751
ENSG00000230838.1	6.12833965871446	4.60130427212524	29.3299432748161	3.90189560661163e-131	2.51256064428411e-127	288.802202322761	LINC01614	105373869
ENSG00000127564.17	4.33745388890373	3.63413826928299	27.9463245821958	2.25405860544627e-122	9.56022172622033e-119	268.708928585647	PKMYT1	9088
ENSG00000167779.9	-3.75229845826338	7.18310917193515	-27.9399236645705	2.47443361792637e-122	9.56022172622033e-119	268.616022013518	IGFBP6	3489
ENSG00000163815.6	-4.23627580379578	6.08317186922151	-27.6521327171515	1.63854553205859e-120	5.27557043138463e-117	264.439774934788	CLEC3B	7123
ENSG00000099953.10	5.72328907452629	7.91703923142459	27.5451701317945	7.78090985986347e-120	2.14730880961204e-116	262.888110949441	MMP11	4320
ENSG00000119927.14	-3.3684886376226	5.16585015405978	-27.2241247750849	8.33407633678873e-118	2.01247108342606e-114	258.232827611667	GPAM	57678
ENSG00000203805.11	5.77621960330426	3.72625412461649	27.121481611528	3.71116633417205e-117	7.96581236039286e-114	256.745171609479	PLPP4	196051
ENSG00000034971.17	-6.34606829643614	0.360213069942443	-26.9378746184414	5.36273644742864e-116	1.03597342691426e-112	254.08503730838	MYOC	4653
ENSG00000169418.10	-3.53895603552371	3.88047362590866	-26.9110875708854	7.91691886029981e-116	1.39035489584793e-112	253.697051388959	NPR1	4881
ENSG00000090889.12	4.26510428114889	5.17811008786635	26.8558901515239	1.7664719643122e-115	2.84372545054858e-112	252.897659860905	KIF4A	24137
ENSG00000133800.9	-4.86858401958281	3.53130773025028	-26.7890342377006	4.66875187396382e-115	6.93776528471023e-112	251.929596732023	LYVE1	10894
ENSG00000105974.13	-3.39853011643555	8.06864944986224	-26.0629626728501	1.76666006261728e-110	2.4377385064029e-107	241.430077761859	CAV1	857
ENSG00000276043.5	3.88140276574334	4.41227684593223	26.0336793464269	2.70099567802024e-110	3.478522300533e-107	241.007220997767	UHRF1	29128
ENSG00000165197.5	-5.71608604495753	3.18698128100777	-25.9503399835747	9.03883767743747e-110	1.09132666407961e-106	239.804070002931	VEGFD	2277
ENSG00000158402.20	4.02138427657164	3.98299034967096	25.9361383676966	1.11042059913167e-109	1.26182971376621e-106	239.599087344681	CDC25C	995
ENSG00000166803.14	3.76839673776782	3.90157371425022	25.7691316381693	1.24763558594673e-108	1.33899023607328e-105	237.189518602316	PCLAF	9768
ENSG00000079308.19	-2.71499985216099	7.25373211022813	-25.6797435964333	4.5506863317695e-108	4.6268504503749e-105	235.900586023908	TNS1	7145
ENSG00000183856.11	4.14706031402994	5.09123438662965	25.5394314815287	3.4653193005459e-107	3.34715191239728e-104	233.878466508413	IQGAP3	128239
ENSG00000025423.11	3.26353244077729	5.1677078770964	25.5192458184947	4.64014746649946e-107	4.23951248753704e-104	233.587674380386	HSD17B6	8630
ENSG00000167434.10	-6.55652676754059	0.833831824105292	-25.51650018456	4.82810201500233e-107	4.23951248753704e-104	233.548123402977	CA4	762
ENSG00000066279.18	4.33490456257853	4.56098852000349	25.4623978255496	1.05567710569023e-106	8.86676970770604e-104	232.768888905708	ASPM	259266
ENSG00000137812.20	3.50499900736399	3.67002530556903	25.2887165087214	1.29890401476294e-105	1.04550948988294e-102	230.268845167642	KNL1	57082
ENSG00000149090.12	-3.93063051675272	4.28199304679361	-25.254634395602	2.12501358543519e-105	1.64204049773748e-102	229.778525517907	PAMR1	25891
ENSG00000115306.16	-1.77347759100125	8.24300330798142	-25.2060044092267	4.28874690758159e-105	3.18653895233312e-102	229.079073358531	SPTBN1	6711
ENSG00000091704.10	-4.24322196565214	-1.0460602054728	-25.0666110385585	3.20650652028571e-104	2.29419603551405e-101	227.075220743622	CPA1	1357
ENSG00000075702.18	3.40130855198446	2.99955699033839	25.0468719928244	4.26282538415578e-104	2.94104502754005e-101	226.791591712389	WDR62	284403
ENSG00000072571.20	3.54967835974067	4.92003992227361	25.0039358646564	7.91851038891124e-104	5.27482012734439e-101	226.174759083432	HMMR	3161
ENSG00000152253.9	3.13219449107684	6.70382611846851	24.8567048429862	6.61229182757272e-103	4.25787511750166e-100	224.060804657701	SPC25	57405
ENSG00000135127.11	3.23188978740369	4.45695509558689	24.8476975845784	7.52858012404219e-103	4.69151970439506e-100	223.931539673445	BICDL1	92558
ENSG00000022267.19	-4.21523505988056	5.98313072022186	-24.8057548050558	1.37758895741478e-102	8.31633233729333e-100	223.329706237062	FHL1	2273
ENSG00000122641.11	3.70821829553502	6.26686083175887	24.8012075517078	1.47083677660492e-102	8.61018934862235e-100	223.264467612791	INHBA	3624
ENSG00000169607.13	3.9325820361049	3.53717590014066	24.7662473407376	2.43347445832403e-102	1.38264292899717e-99	222.762962541821	CKAP2L	150468
ENSG00000143228.13	3.98762671262096	5.61477870747683	24.7139002809844	5.17065765073256e-102	2.8539075570529e-99	222.012252245023	NUF2	83540
ENSG00000186642.16	-3.05893229562123	3.51279919674406	-24.6880394474401	7.50255603458016e-102	4.02595492988943e-99	221.641475205711	PDE2A	5138
ENSG00000079462.8	2.4951622574219	9.46703084973641	24.6671149640673	1.01389796589458e-101	5.29364348787878e-99	221.341518367294	PAFAH1B3	5050
ENSG00000155886.11	5.64844737733956	1.5273449530316	24.657642365374	1.16197093306355e-101	5.9070932855057e-99	221.205740225479	SLC24A2	25769
ENSG00000186185.14	4.26278349151204	3.84544851857209	24.5745217737943	3.84163332552792e-101	1.90288904057816e-98	220.014673687977	KIF18B	146909
ENSG00000077157.22	-1.94147227575906	5.73287734061643	-24.5578184756492	4.88472281929171e-101	2.35907688557693e-98	219.775405811132	PPP1R12B	4660
ENSG00000169679.15	3.72172871593327	4.82246126808365	24.552896865838	5.24296123275866e-101	2.470329880352e-98	219.704910931893	BUB1	699
ENSG00000104415.14	3.88918836492206	5.32897165067119	24.4359543406193	2.81584466372364e-100	1.29515445747174e-97	218.030579214033	CCN4	8840
ENSG00000154736.6	-3.32015175852055	4.08487677886071	-24.4292786407563	3.09930973374072e-100	1.39238291712566e-97	217.935040441838	ADAMTS5	11096
ENSG00000117724.13	3.51587302575922	6.31452144510241	24.2734592999587	2.90412656002327e-99	1.27504356560294e-96	215.706332314638	CENPF	1063
ENSG00000077152.11	3.12681363401609	7.60201600972922	24.1937302464004	9.11617862536053e-99	3.91347419299366e-96	214.566931546752	UBE2T	29089
ENSG00000170145.5	-2.11498761334032	5.8980222047437	-24.1674148416133	1.32960138929229e-98	5.58374774746707e-96	214.191008821189	SIK2	23235
ENSG00000123485.12	3.86159604326398	4.81668707734693	24.0720966634089	5.21374251816537e-98	2.14295910565784e-95	212.829989749179	HJURP	55355
ENSG00000213186.8	2.45741797364289	3.79192455367441	24.0051038488756	1.36135421108676e-97	5.47888346870292e-95	211.874017394898	TRIM59	286827
ENSG00000118193.12	4.19425972253201	3.38759307553996	23.8666064751651	9.88528524294299e-97	3.89722327190148e-94	209.899294576406	KIF14	9928
ENSG00000143476.18	3.31991102462582	5.34666261662724	23.7290471089243	7.0667567735478e-96	2.73031214702793e-93	207.940146316525	DTL	51514
ENSG00000126787.13	3.74278252248561	5.2851573945923	23.7061371079119	9.80379867439796e-96	3.7135251527847e-93	207.614075633656	DLGAP5	9787
ENSG00000120049.20	-4.56328946502108	3.15852085592656	-23.7005212985224	1.06228398363551e-95	3.94638499920591e-93	207.534157255831	KCNIP2	30819
ENSG00000148180.21	-2.40937309511887	8.96913289619517	-23.6741365838802	1.54858968375478e-95	5.64446330391977e-93	207.1587283379	GSN	2934
ENSG00000129757.14	-2.97912974067463	6.32215748715533	-23.6357737461047	2.678435078783e-95	9.58185349109815e-93	206.613013174849	CDKN1C	1028
ENSG00000187730.9	3.55886132759971	1.56388112715561	23.6288652186819	2.95612531087656e-95	1.0382987046457e-92	206.514757788157	GABRD	2563
ENSG00000171320.15	3.5404905559817	2.83673379566797	23.5723883048034	6.61997507371371e-95	2.28365497275003e-92	205.71174458816	ESCO2	157570
ENSG00000109674.4	3.91157717584621	3.52176302789906	23.4819564864641	2.40512129863116e-94	8.15125144683451e-92	204.426773417298	NEIL3	55247
ENSG00000261742.6	4.68940701691324	2.35163274491748	23.4607986445972	3.25205689719224e-94	1.08315922655103e-91	204.126284663612	LINC00922	283867
ENSG00000138180.16	3.58306121557511	5.9294983646351	23.3925654410914	8.60056172204101e-94	2.81602798892183e-91	203.157610492359	CEP55	55165
ENSG00000138640.15	-2.19506338773541	4.28798687953662	-23.3908648020828	8.81151481971968e-94	2.83701405478908e-91	203.133474993983	FAM13A	10144
