logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000123500	7.61419355921957	7.84943417161752	31.984771091286	6.37812385323909e-148	1.23212596596873e-143	327.293781355811
ENSG00000117650	4.85807914523632	6.27336371031049	30.7454730539862	4.27625205736224e-140	4.13043186220618e-136	309.348901617076
ENSG00000230838	6.12425480741537	4.60086740777984	29.3085487134224	5.32829891243618e-131	3.4310692796814e-127	288.491836739139
ENSG00000127564	4.33668476483783	3.63298856368168	27.9740747521293	1.50371490357989e-122	7.26219112683907e-119	269.1120553897
ENSG00000167779	-3.74820809955988	7.18360276782795	-27.8605241256548	7.86661915682788e-122	3.03934697743202e-118	267.463973457875
ENSG00000163815	-4.23551717225756	6.08200024192957	-27.6257763371096	2.40447702725658e-120	7.74161453542378e-117	264.057731742092
ENSG00000099953	5.72073864420174	7.91647186692775	27.5669760321859	5.66174750070325e-120	1.56248054597979e-116	263.204740527605
ENSG00000119927	-3.36915222237652	5.16348285991874	-27.2283176285984	7.8379195639407e-118	1.89266162670258e-114	258.293920266518
ENSG00000203805	5.76861283445379	3.72568907488176	27.1015015598288	4.96135586889433e-117	1.06492747417001e-113	256.455947528317
ENSG00000034971	-6.3450247578834	0.36042656575946	-26.9595038377498	3.91406991608213e-116	7.56120026388746e-113	254.39864667458
ENSG00000169418	-3.5393433112896	3.88088315079172	-26.9524133088728	4.33922177614069e-116	7.6204623883169e-113	254.29593769354
ENSG00000090889	4.26645941200184	5.17704777546002	26.8431750235787	2.12441514117311e-115	3.41995430809852e-112	252.713837978273
ENSG00000133800	-4.86800856091977	3.53171225156883	-26.7967078054882	4.17453573734689e-115	6.20336010569747e-112	252.041003665543
ENSG00000276043	3.8818403866335	4.4105729025718	26.0384983415537	2.51794320863688e-110	3.47440192174623e-107	241.07709006967
ENSG00000105974	-3.3952145567555	8.07039103763456	-26.0270629424097	2.97193904790592e-110	3.82746123516311e-107	240.911971148943
ENSG00000158402	4.02179026328088	3.98131939968374	25.9615429542796	7.68188244891457e-110	9.27491282175823e-107	239.966063320005
ENSG00000165197	-5.71869839367617	3.18678998410367	-25.9570226950564	8.20194798108033e-110	9.32030771167705e-107	239.900814373272
ENSG00000166803	3.77080517667675	3.90020894073628	25.807855788767	7.11899029566745e-109	7.64025858509466e-106	237.748348061105
ENSG00000079308	-2.7110572075534	7.25496725333823	-25.6026960231333	1.38725501426654e-107	1.41047328240005e-104	234.790311635099
ENSG00000167434	-6.55692609511184	0.834342317374426	-25.5463711449207	3.13342977116283e-107	3.02657981596618e-104	233.9787185609
ENSG00000183856	4.14780686013285	5.09007734743054	25.5267036158535	4.16446076290456e-107	3.83090728656144e-104	233.695379900238
ENSG00000025423	3.26058251309616	5.1663945969661	25.4783886772778	8.37510393064634e-107	7.35410262419209e-104	232.999453945208
ENSG00000066279	4.33577312056572	4.55959747737304	25.4670957407442	9.86057567540187e-107	8.28202612597449e-104	232.836815716474
ENSG00000137812	3.50806594571345	3.66853579902909	25.3363509839702	6.52512142117491e-106	5.25217898392737e-103	230.954555175208
ENSG00000149090	-3.93380474800495	4.28214783563478	-25.299134256549	1.11710612839312e-105	8.63210247531933e-103	230.419004852568
ENSG00000091704	-4.23716091265557	-1.04127617618172	-25.1513721370543	9.434437745004e-105	7.00978724453798e-102	228.293780015855
ENSG00000115306	-1.76577551996285	8.24597327978328	-25.1256108294064	1.36831958935296e-104	9.7900732693039e-102	227.923442010424
ENSG00000075702	3.40618555826443	2.99927367548691	25.1036048011769	1.87975902938933e-104	1.29689946177654e-101	227.607132206071
ENSG00000072571	3.54898885164111	4.91847273193039	24.990788625645	9.56882579833655e-104	6.37415781973329e-101	225.986173588518
ENSG00000135127	3.23125838428864	4.45511214913374	24.8541980989441	6.8535566734714e-103	4.41323359393735e-100	224.02508602386
ENSG00000152253	3.13416066211791	6.7052311600541	24.8282620761835	9.95851538941176e-103	6.20576129976311e-100	223.652897791479
ENSG00000169607	3.93395489602585	3.53599501940018	24.7995302215257	1.50638374784048e-102	9.09385038774447e-100	223.240659343259
ENSG00000022267	-4.21636486024905	5.98205956837961	-24.7908171513543	1.7077980221177e-102	9.99734611856659e-100	223.115660858069
ENSG00000122641	3.70702129417733	6.26769404901758	24.755837415937	2.82622655511578e-102	1.60579542916843e-99	222.613908084505
ENSG00000186642	-3.0579913155673	3.5137053316291	-24.7153793338961	5.06033346011037e-102	2.79301490806892e-99	222.0337135573
ENSG00000079462	2.48961711926876	9.46401073473757	24.7100898677053	5.46069218915281e-102	2.93026810305705e-99	221.95787046094
ENSG00000143228	3.98746946660102	5.61437535884884	24.6846166770142	7.87924315496571e-102	4.11381673696291e-99	221.592659217236
ENSG00000186185	4.26294794447985	3.84440009502047	24.5952114513295	2.85206659976018e-101	1.44990059405703e-98	220.31133304672
ENSG00000155886	5.62843651770071	1.52942780504867	24.5909380601948	3.03287786570728e-101	1.50228550281368e-98	220.250107288385
ENSG00000077157	-1.94714991084008	5.73094399523283	-24.5791506590005	3.59323116145702e-101	1.73535098942567e-98	220.081235861448
