baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-mir-139	281.365657735683	-3.33391672426542	0.110103217858342	-30.2799208698406	2.10735978466462e-201	1.03471365427033e-198
hsa-mir-183	51475.2555824434	3.10995093220754	0.110805475589015	28.0667621854949	2.49430083960416e-173	6.12350856122822e-171
hsa-mir-486-1	712.839942428041	-5.4011770063515	0.226704337219897	-23.8247625633757	1.85004531978866e-125	3.02790750672077e-123
hsa-mir-145	7424.71348932896	-3.00811572273723	0.12855860901778	-23.3987886592737	4.39666842279072e-121	5.39691048897561e-119
hsa-mir-100	17239.4505492303	-2.91348175549372	0.136967806009026	-21.2712887822831	2.09446568128525e-100	2.05676529902211e-98
hsa-mir-190b	152.715069197624	5.69913628008169	0.283628801052688	20.0936444357179	8.38738250437321e-90	6.86367468274541e-88
hsa-mir-429	315.119385714457	2.06609744731562	0.103666738262412	19.9301866919523	2.22729678883718e-88	1.5622896047415e-86
hsa-mir-486-2	599.387195541059	-4.7451183348209	0.23971614965052	-19.7947378252937	3.30467053406558e-87	2.02824154028275e-85
hsa-mir-96	122.359945768888	2.77052671552684	0.143161260445539	19.3524889827357	1.94231956706012e-83	1.05964323047391e-81
hsa-mir-92b	457.841168962484	2.4408112948299	0.128081091789067	19.0567652159743	5.77358879393541e-81	2.83483209782228e-79
hsa-mir-32	96.7383711246116	1.75172535680675	0.0976578402275567	17.9373755627298	6.02334965706896e-72	2.68860425601896e-70
hsa-mir-144	433.799251770161	-3.41377325871691	0.204177144392633	-16.7196640391455	9.42490286920326e-63	3.856356090649e-61
hsa-mir-196a-2	1753.53398640208	3.95798268560443	0.238893077102468	16.56800914288	1.1869081832409e-61	4.48286090747142e-60
hsa-mir-141	5702.4445200982	1.91188816474603	0.11564973919147	16.5317118578253	2.16895230796628e-61	7.60682559436746e-60
hsa-mir-196a-1	2049.08771643169	4.3238049365381	0.263480378458732	16.4103488913704	1.61276034807262e-60	5.27910220602439e-59
hsa-mir-1301	53.743426116883	2.2215586067276	0.135931015804648	16.3432796670944	4.85686340343604e-60	1.49044995692943e-58
hsa-mir-23a	11736.6851666363	-1.4794508094463	0.092942465710399	-15.9179208141104	4.75931342907602e-57	1.37460170216254e-55
hsa-mir-335	344.839139126202	-1.83314993407957	0.116406911695567	-15.7477756894171	7.1139854394372e-56	1.94053713931315e-54
hsa-mir-181b-1	625.503608698335	1.36847145491491	0.0870788546457307	15.7153129824957	1.18793112164336e-55	3.0698641090889e-54
hsa-mir-337	142.748634620256	-1.93566172956571	0.124029943424737	-15.6064066153533	6.58424107411607e-55	1.61643118369549e-53
hsa-mir-200b	3046.5106598767	2.50061200685706	0.161682699615594	15.4661693106458	5.86976348116113e-54	1.37240660440482e-52
hsa-mir-592	12.2352119489466	3.84431628103772	0.251706318852025	15.273022539008	1.15684299810986e-52	2.58186323669064e-51
hsa-mir-184	218.165630869339	4.98743025588642	0.328126499115437	15.1997180030614	3.55146563650466e-52	7.58160707619039e-51
hsa-mir-125b-2	1725.93380487634	-1.90704773098129	0.125729729401553	-15.1678345293387	5.7750904055994e-52	1.18148724547888e-50
hsa-mir-451a	2920.0658756724	-3.74633656064053	0.249328104285271	-15.025729134627	4.98102223842613e-51	9.78272767626893e-50
hsa-mir-200a	3144.27651853948	1.94125389382655	0.129484224767222	14.9922038558474	8.25673477732158e-51	1.55925260602496e-49
hsa-mir-454	39.4555555844703	2.07234049140466	0.139650950130171	14.8394299463985	8.14451093454752e-50	1.48109439587512e-48
hsa-mir-103a-2	52255.6748477086	2.375626315385	0.164586264530889	14.4339281419146	3.16528168336109e-47	5.55054752332249e-46
hsa-let-7c	11454.4639992825	-2.06071936669742	0.143027128659071	-14.4078916078186	4.61587326869573e-47	7.81515094803312e-46
hsa-mir-4677	32.5095980450187	1.39147866948047	0.0968932356573268	14.3609474907163	9.09748209797045e-47	1.4889545700345e-45
hsa-mir-193a	2066.41596561789	-1.74665912972783	0.124346207029601	-14.0467423289561	8.06599293996437e-45	1.2775492043621e-43
hsa-mir-130b	70.8439558608335	1.3892525132293	0.100679194516939	13.7988044093416	2.59114394852736e-43	3.97578649602166e-42
hsa-mir-181b-2	563.381676800115	1.25632229697058	0.09126791589255	13.7652129413107	4.12666547884052e-43	6.13997803063847e-42
hsa-mir-4732	0.774722690625047	-3.71166842015429	0.270335962915922	-13.7298359423554	6.72857005319495e-43	9.71684675329036e-42
hsa-mir-195	177.741621106366	-1.25196628702876	0.0924495708702648	-13.5421535789026	8.81657096118978e-42	1.23683895484119e-40
hsa-mir-210	1401.30967903642	2.21821348728796	0.164867028207677	13.4545609962337	2.89453275014399e-41	3.94782105644638e-40
hsa-mir-3613	47.3563234948569	1.98777116392216	0.151389209139692	13.1302037656329	2.21060893610125e-39	2.93353780439382e-38
hsa-mir-342	2250.04525853834	2.39201629496925	0.184983887016065	12.9309440598008	3.01098779682933e-38	3.89051317958737e-37
hsa-mir-301a	61.2897897834104	2.29098130337626	0.178781810716774	12.8143981436995	1.36190987995958e-37	1.71460961810296e-36
hsa-mir-449a	21.2435854917384	5.73574058089904	0.452226773723317	12.6833281755412	7.3158215689421e-37	8.98017097587643e-36
hsa-mir-4668	30.9346766743281	3.2243077667095	0.256057052786017	12.5921458972818	2.3324503461489e-36	2.79325151209539e-35
hsa-mir-204	14.0709085366249	-2.31431020477136	0.184537240892881	-12.5411553438948	4.4446788483728e-36	5.19604122512154e-35
hsa-mir-191	4443.49102794809	1.9799796553419	0.158406552768487	12.4993544821069	7.52599046201011e-36	8.59363096941154e-35
hsa-mir-493	44.6974379137705	1.72255636899669	0.138138636287648	12.4697652683482	1.09147089152689e-35	1.21798229031751e-34
hsa-mir-3065	196.1696461546	2.29176031054689	0.184068187338393	12.4506050919798	1.38788927635348e-35	1.51434141042124e-34
hsa-mir-340	92.2183410008097	1.16208394428563	0.0934358154501304	12.4372430281392	1.64069664615053e-35	1.75126533317371e-34
hsa-mir-1269a	298.055517876749	7.05444714077159	0.570788358864595	12.3591293186221	4.34840996531596e-35	4.54270062334072e-34
hsa-mir-6511b-1	6.44182136770673	-2.1388538514664	0.175011072880714	-12.2212487259262	2.39379198739474e-34	2.4486497204392e-33
hsa-mir-495	28.5171523209747	-1.64067534506177	0.136145131673111	-12.0509292172201	1.91775699765713e-33	1.92167078744826e-32
hsa-mir-6511b-2	6.94561756023995	-2.1419835221384	0.178327162572871	-12.0115381820373	3.09042721973728e-33	3.03479952978201e-32
hsa-mir-590	68.8959809350397	1.70912064247181	0.143532459742878	11.907554887121	1.08100850294464e-32	1.04073563714866e-31
hsa-mir-497	121.01331021766	-1.54730420221165	0.135823596673928	-11.3920131707767	4.58277403887e-30	4.32719625593301e-29
hsa-mir-551b	6.1981938463586	-2.21093379753647	0.194320311766629	-11.3777802095733	5.39556256794281e-30	4.99853060539608e-29
hsa-mir-182	139569.7112596	1.29843930381141	0.114548569577438	11.3352729641345	8.77580586432909e-30	7.97948273960293e-29
hsa-mir-33b	37.6228533124262	2.71735128366222	0.240805855248353	11.2844070209992	1.56694672880143e-29	1.39885607971182e-28
hsa-mir-17	2712.1677643454	1.8611995103204	0.16518763271111	11.2671843513575	1.90566788018726e-29	1.67086237352133e-28
hsa-mir-511	38.1491895034687	-2.07036120443547	0.18442014508529	-11.2263288995786	3.02799661907829e-29	2.60832691222358e-28
hsa-mir-26b	2759.79659591236	-1.24252909163384	0.112799431685664	-11.0153843247755	3.22158782510575e-28	2.72724072780504e-27
hsa-mir-532	2381.625049408	1.19926156255152	0.10903903745056	10.9984606485112	3.8871066884953e-28	3.23486336279863e-27
hsa-mir-203b	223.001302268313	2.65706602673432	0.242638185494945	10.9507331721687	6.59119347183594e-28	5.39379332445241e-27
hsa-mir-6892	8.44937130529921	-1.21963564044706	0.111546034800849	-10.9339219688495	7.93433721186109e-28	6.38649110003901e-27
hsa-mir-378c	20.0556421705495	-1.57034888003377	0.143839571247345	-10.9173634655335	9.52198454587488e-28	7.5407974387493e-27
hsa-mir-1277	10.5347822842771	3.46034743667985	0.319837804608299	10.8190694996725	2.79601583080497e-27	2.17911709988133e-26
hsa-mir-937	17.3734537797321	3.03881570310272	0.282088887243642	10.772546670646	4.63986562356391e-27	3.55964690807793e-26
hsa-mir-4724	3.19279412591835	3.28809827853704	0.309145360700723	10.6360912907898	2.02444724530068e-26	1.5292363037579e-25
hsa-mir-3610	4.45041448528203	2.89572633544745	0.273026579824967	10.6060235501754	2.79387844314607e-26	2.07847623573442e-25
hsa-mir-142	10017.1194007052	1.96442918101492	0.186889912368558	10.5111568415792	7.67462857151061e-26	5.62424272927121e-25
hsa-mir-326	43.4133082429233	-1.78137257293684	0.169727524454421	-10.4954843279719	9.06118204524675e-26	6.5427064473767e-25
hsa-mir-365b	381.750256463501	-1.05903126816046	0.101861224087462	-10.3968048454939	2.5638639889795e-25	1.82443075157817e-24
hsa-mir-651	13.615599808248	2.10083347465773	0.203870688958841	10.3047352485371	6.70761154387231e-25	4.70491038291615e-24
hsa-mir-187	284.831166390349	3.43623249113258	0.333902498680818	10.291125417475	7.7267922979115e-25	5.34345777221767e-24
hsa-mir-99a	2935.70592994883	-1.29152344497292	0.125724256674578	-10.2726671776304	9.35809996607994e-25	6.38170428242396e-24
hsa-mir-181a-1	4274.1286505121	1.39416926145666	0.136755381766029	10.1946208145717	2.09560693407922e-24	1.40951096525055e-23
hsa-mir-147b	8.38732540312734	3.57062955561597	0.351532273163501	10.1573307152804	3.07376534566597e-24	2.03948484421891e-23
hsa-mir-760	8.22921801279138	1.98894900333173	0.196016459016233	10.146846919457	3.42242469876556e-24	2.24054736945852e-23
hsa-mir-3934	7.30442796187947	2.01776056440301	0.198883555717608	10.1454368970957	3.47221235448375e-24	2.24323192901516e-23
hsa-mir-301b	4.24416829748519	2.81019373841748	0.277062490199572	10.1428155662402	3.56668531879319e-24	2.27434089808761e-23
hsa-mir-659	5.21485661692455	1.4967689509658	0.148911859774388	10.0513750431531	9.05943733235057e-24	5.70279965408222e-23
hsa-mir-125b-1	1364.44772026273	-1.006568796848	0.100357151909618	-10.0298661101355	1.12669280088457e-23	7.00260968651044e-23
hsa-mir-365a	388.590162808501	-1.05846565231626	0.105906689045707	-9.9943229446013	1.61386293131211e-23	9.90508374092808e-23
hsa-mir-3664	2.84938186627252	2.95814460116433	0.30152311948534	9.81067258196815	1.01291153433584e-22	6.13999460936909e-22
hsa-mir-106b	2293.51887461404	1.22904368790904	0.125783247770189	9.77112381574495	1.49781292191529e-22	8.96861152024889e-22
hsa-mir-3677	51.4160737723216	2.01551317716758	0.206826487802756	9.74494707413736	1.93879869727569e-22	1.14692790405104e-21
