baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-21-5p	807173.188378195	2.21921376867053	0.0919081730380755	24.14598936431	8.22730310707062e-129	5.28192859473934e-126
hsa-miR-486-5p	714.832022969593	-4.59712317802322	0.193646081355877	-23.7398203249709	1.39976624666824e-124	4.49324965180505e-122
hsa-miR-96-5p	126.21552804418	3.34683968149886	0.141410232017516	23.6675920387734	7.77893711832238e-124	1.66469254332099e-121
hsa-miR-1307-5p	904.996236854837	3.48748348459121	0.148598714437975	23.4691363097012	8.43101231215033e-122	1.35317747610013e-119
hsa-miR-139-5p	222.221151690744	-2.90978985602207	0.125505291823175	-23.1845989420246	6.51222148906316e-119	8.36169239195709e-117
hsa-miR-145-5p	5830.72319421053	-2.43151859274173	0.106275018818653	-22.879493410308	7.43596056964973e-116	7.95647780952522e-114
hsa-miR-183-5p	57172.3584749029	2.9183167784211	0.133726933048188	21.8229545230765	1.4048353572272e-105	1.28843471334266e-103
hsa-miR-378a-5p	198.713270405295	-2.3972200714756	0.121131263464427	-19.7902672102451	3.61122184486206e-87	2.8980055305018e-85
hsa-miR-21-3p	7891.21391021765	2.1744991647393	0.112697744816097	19.2949660908273	5.92038020609678e-83	4.2232045470157e-81
hsa-miR-429	350.516733134274	2.50670828579431	0.130462804535588	19.2139690290846	2.82795872087515e-82	1.81554949880185e-80
hsa-miR-141-3p	3324.78164325708	2.31069975054953	0.121426561998039	19.0296069700701	9.69772938079813e-81	5.65994751133854e-79
hsa-miR-139-3p	54.026341327586	-3.00471424914674	0.165941633136475	-18.1070548261724	2.80351629126126e-73	1.49988121582477e-71
hsa-miR-145-3p	116.547556915922	-1.61329507527007	0.0905048902199181	-17.8255017088018	4.48053202375129e-71	2.2126935071141e-69
hsa-miR-144-5p	324.288209292458	-3.1926618088057	0.182097497243674	-17.5327055952528	8.06393941371885e-69	3.6978922168625e-67
hsa-miR-182-5p	163317.20011248	2.35820828388947	0.135406338086862	17.4157895206996	6.26190969015617e-68	2.68009734738684e-66
