genes	logFC	logCPM	PValue	FDR
hsa-mir-486-1	hsa-mir-486-1	-4.67750527926879	6.87836628286761	2.00308893723475e-254	6.09848249912155e-252
hsa-mir-486-2	hsa-mir-486-2	-4.68396277021883	6.87117042862573	2.48410692428576e-254	6.09848249912155e-252
hsa-mir-139	hsa-mir-139	-2.97655854841532	6.39971231889904	1.16075487696989e-210	1.89976881530739e-208
hsa-mir-145	hsa-mir-145	-2.40731276757726	10.9103383733596	1.28759714734436e-139	1.5805254983652e-137
hsa-mir-21	hsa-mir-21	2.19501850964717	17.8477484323327	6.13630615387406e-129	6.02585264310432e-127
hsa-mir-144	hsa-mir-144	-3.2773855047189	6.73979343303055	1.27983448162217e-126	1.04733121746081e-124
hsa-mir-4732	hsa-mir-4732	-4.12803558770089	-0.0881583377072002	3.74004442922645e-113	2.62337402107169e-111
hsa-mir-451a	hsa-mir-451a	-3.45803194284962	9.04731324696088	9.70100940677696e-111	5.95399452340936e-109
hsa-mir-10b	hsa-mir-10b	-1.90410517765265	16.4551449337828	6.62713417098457e-103	3.61546986439269e-101
hsa-mir-96	hsa-mir-96	3.26432067301435	5.29403563898441	1.67879727831087e-76	8.24289463650637e-75
hsa-mir-99a	hsa-mir-99a	-1.94377285538988	9.92361892021784	4.81906153134226e-74	2.15105382899005e-72
hsa-mir-183	hsa-mir-183	2.92496341780244	14.0398884412058	1.7509046461631e-70	7.16411817721735e-69
hsa-mir-100	hsa-mir-100	-1.69511197742698	11.9173887570751	1.84140593775191e-68	6.95484858027839e-67
hsa-mir-125b-1	hsa-mir-125b-1	-1.73270486072502	8.89040164737713	1.08045415492573e-67	3.7893070719181e-66
hsa-mir-125b-2	hsa-mir-125b-2	-1.71830879851378	8.9579918330132	8.41744713998772e-67	2.75531103048931e-65
hsa-let-7c	hsa-let-7c	-1.67672749687101	11.5734487822287	1.01366653513021e-55	3.11068917968082e-54
hsa-mir-592	hsa-mir-592	4.52335731014262	2.28730359080804	2.40931990841375e-55	6.95868279430088e-54
hsa-mir-182	hsa-mir-182	2.28030148878799	15.4735541445165	1.19906904438891e-54	3.27079389330529e-53
hsa-mir-337	hsa-mir-337	-1.92230248306669	5.65312498983274	2.75032403310612e-54	7.10741631713212e-53
hsa-mir-378a	hsa-mir-378a	-1.73029650909293	8.58999896846104	1.25305182793912e-53	3.07624223759055e-52
hsa-mir-378c	hsa-mir-378c	-1.7236509237836	2.64564904740103	9.40341768750693e-53	2.19860861169805e-51
hsa-mir-204	hsa-mir-204	-2.57667076806178	2.6430612124593	7.27370106205562e-51	1.6233578279406e-49
hsa-mir-141	hsa-mir-141	2.11527054016359	10.800682605144	2.36947055449869e-49	5.05830453156024e-48
hsa-mir-429	hsa-mir-429	2.52455636745599	6.85109027376491	3.44285678088063e-49	7.04351116421829e-48
hsa-mir-551b	hsa-mir-551b	-2.36880484754584	1.43130483358567	4.53828164576372e-49	8.91318515227996e-48
hsa-mir-200a	hsa-mir-200a	2.09395855326241	9.84999997787416	5.06027529005394e-48	9.55613525929418e-47
hsa-mir-335	hsa-mir-335	-1.87400331278237	7.03419025144338	2.84106557321852e-47	5.16653035722332e-46
hsa-mir-193a	hsa-mir-193a	-1.17725295354594	9.04492450621857	7.7646111796651e-47	1.3615800318627e-45
hsa-mir-3199-2	hsa-mir-3199-2	-1.67755838186786	0.468552293133247	2.25455776190343e-46	3.81719952101581e-45
hsa-mir-1258	hsa-mir-1258	-2.37872858454781	1.18207974610842	2.97692440982972e-46	4.87223295075464e-45
hsa-mir-195	hsa-mir-195	-1.36041432995118	5.87635745948073	1.06714974670806e-45	1.69022750204405e-44
hsa-mir-511	hsa-mir-511	-1.88790816565314	3.44080600314987	3.09669308799175e-39	4.75148845688734e-38
hsa-mir-497	hsa-mir-497	-1.29959525134298	5.04763944914983	5.08623752873272e-38	7.56770492911444e-37
hsa-mir-365b	hsa-mir-365b	-1.315771958888	6.98668023796477	3.893969181062e-37	5.62334961147483e-36
hsa-mir-365a	hsa-mir-365a	-1.31275037451682	6.99017272832851	6.96604719418449e-37	9.77236906384167e-36
hsa-mir-6715a	hsa-mir-6715a	-2.7880148373658	-0.205926257787039	2.99116188405383e-36	4.07961245852898e-35
hsa-mir-6892	hsa-mir-6892	-1.48301277652393	1.78120468644481	1.32873985819682e-35	1.76327370371524e-34
hsa-mir-190b	hsa-mir-190b	3.37878776020187	4.24768038173224	4.3963990256971e-35	5.68061032004546e-34
hsa-mir-5683	hsa-mir-5683	-2.24735189362742	4.00406429662391	9.75814950492068e-35	1.22852600177335e-33
hsa-mir-665	hsa-mir-665	-1.86690195796597	0.080358629375123	1.48000897863118e-34	1.81671102126978e-33
hsa-mir-7705	hsa-mir-7705	2.93529233297836	0.669086303370149	1.45343663764451e-33	1.74057899776453e-32
hsa-mir-6507	hsa-mir-6507	-2.53843824685643	-0.356888680245103	1.77026799491299e-33	2.06952758452924e-32
hsa-mir-200c	hsa-mir-200c	1.51607498046135	13.4896778004989	3.90012374277285e-33	4.45339711093365e-32
hsa-mir-1301	hsa-mir-1301	1.95158051604012	4.12304962884074	2.34037926044165e-32	2.61165049290193e-31
hsa-mir-200b	hsa-mir-200b	1.63245128667281	9.4741553602255	2.17539470291159e-31	2.37359733139909e-30
hsa-mir-6716	hsa-mir-6716	-1.36750503845562	0.448293278408418	5.73383674569595e-31	6.12024748290589e-30
hsa-mir-196a-1	hsa-mir-196a-1	3.28492948052841	8.40221925880308	8.8295598816415e-31	9.22407213167229e-30
hsa-mir-181b-1	hsa-mir-181b-1	1.60688785370221	7.78175688418738	9.543056182258e-31	9.76175121976807e-30
hsa-mir-196a-2	hsa-mir-196a-2	3.11319092580935	8.59814669069451	4.16785484321382e-29	4.17636066942447e-28
hsa-mir-607	hsa-mir-607	-1.96643789758087	-0.317678819855748	1.78869734023148e-28	1.75650078810732e-27
hsa-mir-3610	hsa-mir-3610	2.6215544291562	0.7605662380402	6.10523689696758e-28	5.87778689492369e-27
hsa-mir-126	hsa-mir-126	-1.12564477662245	11.7736803131069	1.08898645676485e-27	1.01601558797236e-26
hsa-mir-181b-2	hsa-mir-181b-2	1.55385570494924	7.63638671720458	1.09671743711884e-27	1.01601558797236e-26
hsa-mir-210	hsa-mir-210	2.95451730260208	9.33086520682959	1.17534201217196e-27	1.06869060736376e-26
hsa-mir-378d-2	hsa-mir-378d-2	-1.81384211318811	-0.382484276656724	5.2712011459714e-27	4.70574502303993e-26
hsa-mir-32	hsa-mir-32	1.35142919988684	4.97163724237657	7.83534550314392e-27	6.8699190036494e-26
hsa-mir-585	hsa-mir-585	-1.80910531242033	0.200130318421649	7.99895579345977e-27	6.8903285869978e-26
hsa-mir-495	hsa-mir-495	-1.41344805195237	3.28456355962963	1.87440277954673e-26	1.58677890475422e-25
hsa-mir-92b	hsa-mir-92b	1.62563638184937	7.11151439307373	2.09522429869023e-26	1.74365276382526e-25
hsa-mir-184	hsa-mir-184	5.63825656631793	6.81540604781932	7.18879482714792e-26	5.88283043354938e-25
hsa-mir-4724	hsa-mir-4724	4.26026636790109	1.05173160288633	7.46189202819149e-26	6.00621145220003e-25
hsa-mir-33b	hsa-mir-33b	2.63606805660633	3.14915868360103	3.62848921042361e-25	2.87352935857741e-24
hsa-mir-377	hsa-mir-377	-1.269257456183	2.09167168451491	2.04749306495067e-24	1.59574459506473e-23
hsa-mir-3065	hsa-mir-3065	2.24834899657731	5.91230973715584	6.02047628614545e-24	4.61883415077722e-23
hsa-mir-128-2	hsa-mir-128-2	1.20816360301242	5.84776755968116	8.79516908391024e-24	6.6437354156922e-23
hsa-mir-3199-1	hsa-mir-3199-1	-1.61563328936892	-0.325730411713525	1.67200922194099e-23	1.24387352723186e-22
hsa-mir-379	hsa-mir-379	-1.13083249603385	9.76111533420516	2.38195764264233e-23	1.74558388438415e-22
hsa-mir-28	hsa-mir-28	-0.694502053387906	12.0942042545527	4.689732733009e-23	3.38626289986385e-22
hsa-mir-143	hsa-mir-143	-1.0252517257197	15.6982289435127	5.6261397815202e-23	4.00352845322669e-22
hsa-mir-381	hsa-mir-381	-1.10287220875417	5.12992325433595	1.31807567819774e-22	9.24535939992983e-22
hsa-mir-4677	hsa-mir-4677	1.18620388387042	3.45366559452614	2.26340330378435e-22	1.56525496078608e-21
hsa-mir-937	hsa-mir-937	2.89606223664987	2.30525042318161	4.2743378575216e-22	2.91486095561543e-21
hsa-mir-142	hsa-mir-142	1.96216619652424	11.3939404137312	5.21236658643774e-22	3.50585204649442e-21
hsa-mir-93	hsa-mir-93	1.1996572137767	12.393599796327	8.03847580413375e-22	5.33363732409415e-21
hsa-mir-1247	hsa-mir-1247	-1.65991826386004	5.56168032772254	8.23190223354107e-22	5.38915199555822e-21
hsa-mir-3677	hsa-mir-3677	2.12253823440311	3.7992878641345	9.11555870971744e-22	5.88913069272535e-21
hsa-mir-340	hsa-mir-340	1.04965161197524	4.87425407264754	9.93589628222687e-22	6.33574685009532e-21
hsa-mir-760	hsa-mir-760	2.43596813883991	2.09544217056887	1.20138180845904e-21	7.56254446094086e-21
hsa-mir-148b	hsa-mir-148b	1.0359617054308	7.60294711737569	1.30634239930468e-21	8.11916605137464e-21
hsa-mir-155	hsa-mir-155	1.60304853846899	8.83560522619046	1.80764250059079e-21	1.1094405847376e-20
hsa-mir-299	hsa-mir-299	-1.17785372812017	2.18456341347494	2.76196233605014e-21	1.67422655185261e-20
hsa-mir-378d-1	hsa-mir-378d-1	-1.79884431386561	-0.490036236145581	5.28690803840113e-21	3.14907314202737e-20
hsa-mir-192	hsa-mir-192	1.32661357189297	8.91919779156382	5.32328046411958e-21	3.14907314202737e-20
hsa-mir-454	hsa-mir-454	1.38498937471173	3.58142447239656	6.70723281185216e-21	3.92053727454692e-20
hsa-mir-301b	hsa-mir-301b	2.82736555805919	1.05397883366628	8.1753198801207e-21	4.67762997807926e-20
hsa-mir-342	hsa-mir-342	1.55628141213466	8.96606603700674	8.19299751761337e-21	4.67762997807926e-20
hsa-mir-128-1	hsa-mir-128-1	1.0133924121035	6.41600591801598	8.88324359491743e-21	5.01341678747639e-20
hsa-mir-449a	hsa-mir-449a	5.63208872210195	3.36090613284003	3.11504524118863e-20	1.73805365161774e-19
hsa-mir-676	hsa-mir-676	-1.30022395513335	0.438549133912294	3.74617483129127e-20	2.06670993501574e-19
hsa-mir-15a	hsa-mir-15a	0.900080096313342	7.23758463067887	1.35431480789305e-19	7.37913643529894e-19
hsa-mir-218-2	hsa-mir-218-2	-0.900978723700665	4.45316091121316	1.36761999106355e-19	7.37913643529894e-19
hsa-mir-203a	hsa-mir-203a	2.14843085220252	12.8090700946121	1.39453119532932e-19	7.44255235768149e-19
