genes	logFC	logCPM	PValue	FDR
hsa-miR-486-5p	hsa-miR-486-5p	-4.48188402765621	7.74916015316437	2.18736102273631e-228	1.40428577659671e-225
hsa-miR-139-5p	hsa-miR-139-5p	-2.87380986210843	6.10029612240072	9.51134264689830e-184	3.05314098965435e-181
hsa-miR-145-5p	hsa-miR-145-5p	-2.42996910351416	10.7975233267971	1.93477796146626e-177	4.1404248375378e-175
hsa-miR-378a-5p	hsa-miR-378a-5p	-2.37958779617033	5.92987199177744	6.18788451440283e-130	9.93155464561655e-128
hsa-miR-139-3p	hsa-miR-139-3p	-2.93860345521944	4.10353495452789	5.87828340859731e-111	7.54771589663895e-109
hsa-miR-144-5p	hsa-miR-144-5p	-3.09024894734828	6.64133479624695	6.36749381663654e-106	6.8132183838011e-104
hsa-miR-451a	hsa-miR-451a	-3.28092978189807	8.9282552690234	1.16539099326412e-100	1.06883002525081e-98
hsa-miR-335-5p	hsa-miR-335-5p	-2.54605695060526	4.34306469175227	7.47971262432085e-97	6.00246938101748e-95
hsa-miR-4732-3p	hsa-miR-4732-3p	-3.81996391788325	-0.165468690488657	4.70431194310722e-93	3.35574251941648e-91
hsa-miR-145-3p	hsa-miR-145-3p	-1.59840804184327	5.17504597658177	1.12385193589791e-88	7.2151294284646e-87
hsa-miR-21-5p	hsa-miR-21-5p	2.25501866807506	17.9249779207654	2.95786347696801e-84	1.72631668383042e-82
hsa-miR-125b-5p	hsa-miR-125b-5p	-1.76554485432429	9.82880290125469	3.31079924691174e-81	1.77127759709778e-79
hsa-miR-337-3p	hsa-miR-337-3p	-1.95921355223436	5.48211656562533	9.16029967023804e-76	4.52377876022525e-74
hsa-miR-96-5p	hsa-miR-96-5p	3.35652972072879	5.31102715436697	1.04898814233865e-75	4.81035990986725e-74
hsa-miR-1307-5p	hsa-miR-1307-5p	3.50935502827767	8.10615915685664	1.81252079049442e-70	7.75758898331613e-69
hsa-miR-99a-5p	hsa-miR-99a-5p	-1.94028133375488	9.93729067767156	4.22823366567654e-70	1.69657875835271e-68
hsa-miR-183-5p	hsa-miR-183-5p	2.92161839113058	14.0820603992402	7.25972104133923e-65	2.74161229914105e-63
hsa-miR-10b-5p	hsa-miR-10b-5p	-1.78332697097488	16.5751839813578	4.25121279808876e-62	1.51626589798499e-60
hsa-miR-378c	hsa-miR-378c	-1.71139769623002	2.61428857949163	3.89176880820225e-59	1.31500819729781e-57
hsa-miR-21-3p	hsa-miR-21-3p	2.19211068194496	11.2209462550124	4.44324962644536e-59	1.42628313008896e-57
hsa-miR-592	hsa-miR-592	4.50638585066854	2.24014820187851	4.94345907959071e-58	1.51128606147487e-56
hsa-miR-100-5p	hsa-miR-100-5p	-1.67524039505637	11.974460413923	2.79239514216656e-57	8.14871673304968e-56
hsa-miR-551b-3p	hsa-miR-551b-3p	-2.34251437106081	1.30540379913427	4.79916331195367e-57	1.33959254185837e-55
hsa-miR-511-5p	hsa-miR-511-5p	-2.00854907254798	3.25436668773269	2.35890516890265e-56	6.31007132681458e-55
hsa-miR-497-5p	hsa-miR-497-5p	-1.34832415811498	4.91601650293307	1.17209502917595e-53	3.00994003492383e-52
hsa-miR-429	hsa-miR-429	2.51075096450729	6.7567319874256	1.35223263218356e-53	3.33897442254555e-52
hsa-miR-141-3p	hsa-miR-141-3p	2.31612740163122	9.99595914561938	1.03106455456391e-52	2.45164238529641e-51
hsa-miR-204-5p	hsa-miR-204-5p	-2.59264149183717	2.60261313260648	3.43236533037918e-52	7.86992336465512e-51
hsa-miR-378a-3p	hsa-miR-378a-3p	-1.60096780922763	8.27325548593678	4.30011396638526e-48	9.51956264282529e-47
hsa-miR-495-3p	hsa-miR-495-3p	-1.54005931243312	3.05101198505951	4.53536130636229e-48	9.7056731956153e-47
hsa-miR-3199	hsa-miR-3199	-1.58370948796987	0.576156353206238	1.02389512886969e-47	2.12045378301401e-46
hsa-let-7c-5p	hsa-let-7c-5p	-1.64162021021964	11.6114365323277	3.71359893101616e-47	7.45040785535117e-46
hsa-miR-1258	hsa-miR-1258	-2.40895068435996	1.21153688457724	4.3579027839651e-47	8.47810177971392e-46
