logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-mir-183	2.50383407698783	10.4792342773077	27.3260584815824	4.32798126126595e-119	2.12503879928158e-116	261.224614886859
hsa-mir-139	-2.15836516238533	4.78006916977225	-26.3956312240317	3.70105716934299e-113	9.08609535073704e-111	247.603856378879
hsa-mir-100	-1.9549370669447	8.26106181336771	-22.7789334694699	2.17506315812894e-90	3.55985336880437e-88	195.327319626453
hsa-mir-486-1	-3.38188557623138	4.25971332675447	-21.3439580553603	1.44367589948267e-81	1.77211216661498e-79	175.076548079699
hsa-mir-486-2	-3.35948725300681	4.22997520698066	-21.2096021860668	9.48198682813705e-81	9.31131106523058e-79	173.200328221107
hsa-mir-429	1.78616070516078	-Inf	20.25714972655	5.84403238796108e-75	4.78236650414815e-73	159.915575285164
hsa-mir-96	1.70724463969043	3.61776105485454	18.5179271383478	9.1627905010959e-65	6.42704305148298e-63	136.518867985202
hsa-mir-145	-1.78754020199212	8.1775059161899	-18.4028588702734	4.22860506786312e-64	2.34134361566071e-62	134.995233895027
hsa-mir-32	1.33729238600241	5.65039066499409	18.4017435160616	4.29166854194428e-64	2.34134361566071e-62	134.980485593048
hsa-mir-337	-1.45196080067134	3.79903525376361	-18.1013090805659	2.28114317036062e-62	1.12004129664706e-60	131.022265495968
hsa-mir-141	1.76222275899668	7.99730221112658	17.3564263879129	3.80590640477655e-58	1.69881822249571e-56	121.338055458888
hsa-mir-144	-2.06746863550431	4.02103135511413	-16.9432213820396	7.69478245247734e-56	3.14844848680531e-54	116.050609497625
hsa-mir-92b	1.62306377571326	8.11860324776849	16.8235940171495	3.53687360544567e-55	1.33584995405679e-53	114.531699884687
hsa-mir-125b-2	-1.53133117958256	6.40970878867906	-16.6037524201823	5.75179148586562e-54	2.01723544254287e-52	111.754674387486
hsa-mir-451a	-2.75957598846389	6.70227818198715	-16.3180732419182	2.09647632183255e-52	6.86246582679855e-51	108.174348540871
hsa-mir-204	-1.69860424707089	-Inf	-15.8944023470256	3.47200676849952e-49	1.06547207708329e-47	100.827827062971
hsa-mir-181b-1	0.962603780395972	6.38990357952837	15.3666504035407	2.61427181810173e-47	7.55063213345854e-46	96.4945776366918
hsa-mir-4677	0.983838793440023	3.81754911646319	14.5820182344641	3.08339864789011e-43	8.41082631174469e-42	87.1661680804247
hsa-mir-592	2.33953198647908	-Inf	14.5373135247244	6.86602893880923e-43	1.77432642576596e-41	86.4564351877217
hsa-mir-200a	1.60763051954633	7.09832320272527	14.3949840068777	2.7603717157329e-42	6.77671256212427e-41	84.9858254695572
hsa-mir-200b	2.05708910657937	8.21298748467409	14.3552009545032	4.39028490607571e-42	1.0264904232777e-40	84.5242786455468
hsa-mir-335	-1.33892504504446	-Inf	-14.2147842972011	2.26763926889502e-41	5.06095855012479e-40	82.8914228895845
hsa-mir-1301	1.33763813149164	-Inf	14.1898303906024	3.05849211081066e-41	6.52921576699146e-40	82.6026597604121
hsa-let-7c	-1.53796838972632	8.80719625791672	-14.0434052605505	1.62219368088589e-40	3.31873790547906e-39	80.9344233249749
hsa-mir-130b	0.962970163576619	3.95400380780255	13.9982449503218	2.72517076955561e-40	5.35223539140721e-39	80.4185622409817
hsa-mir-454	1.44697062163956	4.3747834230188	13.9742449939634	3.588712799677e-40	6.77714609477465e-39	80.1448398778478
hsa-mir-23a	-0.893797707209324	8.87554445684836	-13.7252455392149	6.13236723196522e-39	1.11518233736849e-37	77.3226099634155
hsa-mir-493	1.41558498146463	4.14604292024193	13.5489974420082	4.48406770964255e-38	7.8631330194089e-37	75.3446861586377
hsa-mir-195	-0.906431243434758	4.73656914462911	-13.0633611155562	9.88693387657305e-36	1.67396018393013e-34	69.9816613760642
hsa-mir-181b-2	0.844812567976342	6.11466849133379	12.8952075763885	6.21378562889809e-35	1.01698958126299e-33	68.1551868007998
hsa-mir-340	0.856968641436328	5.62845938768864	12.7250125986078	3.92923030454794e-34	6.22339380494529e-33	66.3229013416883
hsa-mir-495	-1.42319077878823	3.90605613011495	-12.6534185871334	8.49366236650612e-34	1.30324631936078e-32	65.5571117347556
hsa-mir-190b	3.60419450305354	-Inf	12.6552569658107	1.55550858495009e-33	2.31440822791059e-32	65.0629544106323
hsa-mir-584	-1.1599735722449	5.51326795252033	-12.5543386447651	2.45641457355037e-33	3.54735163415657e-32	64.502234695361
hsa-mir-193a	-1.03269871146972	7.95393350385591	-12.5499676954779	2.57389759446606e-33	3.61081062537953e-32	64.4558303333397
hsa-mir-452	-2.03151465881242	4.76397675227712	-12.245373981371	6.49462343050136e-32	8.85794473437825e-31	61.2498751513382
hsa-mir-210	1.71659396048725	8.9162157272968	12.0838245521636	3.51921861034861e-31	4.67009820994911e-30	59.5720300428331
hsa-mir-4732	-1.22303627009269	-Inf	-12.8050710515262	1.26138151435774e-30	1.62983769355171e-29	58.5914396459698
hsa-mir-483	-1.68003181789739	-Inf	-11.8418321771105	4.90927238697901e-30	6.18064805642742e-29	56.9599125663211
hsa-mir-511	-1.81660443529558	-Inf	-11.6889930135758	2.13481171159141e-29	2.62048137597845e-28	55.4984190475019
hsa-mir-665	-0.792646229963877	-Inf	-11.5680812567534	1.49734197396461e-28	1.7931583151625e-27	53.5937954669403
hsa-mir-3613	1.35304095829682	-Inf	11.4699876615733	1.87997309454605e-28	2.19777807005264e-27	53.3386748822846
hsa-mir-497	-1.16888752160629	6.29405548558354	-11.4647564692066	1.97169186557138e-28	2.25139699068732e-27	53.2912571128797
hsa-mir-6511b-1	-1.54421687116022	-Inf	-11.4247520572746	3.13456826623955e-28	3.49789322437186e-27	52.8334141699809
hsa-mir-125b-1	-0.816628519930479	7.6304780890493	-11.4089999006919	3.44577108259319e-28	3.75971911456279e-27	52.7374254033248
hsa-mir-326	-1.40668373012084	-Inf	-11.2706504127917	1.42921061238626e-27	1.52552697974273e-26	51.3278920131403
hsa-mir-99a	-1.09937649530372	8.45475242674329	-11.228425800097	2.07292206376441e-27	2.16554198576239e-26	50.9575160483558
hsa-mir-26a-1	-0.93569779845433	7.4310450984345	-11.2249405892274	2.14553093228312e-27	2.19469934948128e-26	50.923370291755
hsa-mir-590	1.22815020282906	5.90158616901838	11.185180927085	3.17589567669723e-27	3.1823770964456e-26	50.5343919004221
hsa-mir-6892	-0.935242321726194	-Inf	-11.1663216831688	3.85767827104507e-27	3.78824006216626e-26	50.3418316138903
hsa-mir-378c	-1.28312301511887	-Inf	-11.1383918621496	5.16597377545322e-27	4.97351592891673e-26	50.0528452367933
hsa-mir-1247	-2.30134268272217	-Inf	-10.7997766552097	1.45982337837587e-25	1.3784101515049e-24	46.7421387628529
hsa-mir-6511b-2	-1.44871885111741	-Inf	-10.7748982028249	1.79381312238598e-25	1.66181555300286e-24	46.5366881670855
hsa-mir-374b	-0.830484668958084	5.37982213095993	-10.6928118706079	3.75038479486867e-25	3.41007210051947e-24	45.8039229057169
hsa-mir-103a-2	1.28855812389009	9.9079615365487	10.506834174102	2.18076836181018e-24	1.94683139208872e-23	44.0595187252963
hsa-mir-26b	-0.830375808784808	7.00914874059895	-10.4106683263484	5.36975567410238e-24	4.70812506425762e-23	43.1668051751262
hsa-mir-1258	-1.54129287708191	-Inf	-10.5188339679008	7.32764669336504e-24	6.31206057270567e-23	42.9238557361876
hsa-mir-133a-1	-1.29587384910967	-Inf	-10.4235977371144	8.19355951913892e-24	6.93627193775381e-23	42.77122047722
hsa-mir-5683	-1.75274575883435	-Inf	-10.2950303649652	1.60498654269818e-23	1.33567524146577e-22	42.0831303055222
hsa-mir-758	-0.651731331231519	3.23879546270736	-10.0548444772829	1.4256744308473e-22	1.16667690924337e-21	39.9195531485655
hsa-mir-365b	-0.739310822900103	5.82595041774499	-10.0188555332989	1.97665475403424e-22	1.59104505611608e-21	39.596072755602
hsa-mir-659	0.996415207085682	-Inf	9.99067228564314	2.59687878234725e-22	2.05656045505242e-21	39.3370767639111
hsa-mir-296	-1.17860278354114	-Inf	-9.99548471749765	2.86071226080284e-22	2.22953923818126e-21	39.2375622015437
hsa-mir-218-2	-0.82907374179914	3.81390436459687	-9.96817526137759	3.12682629846804e-22	2.39886205085595e-21	39.1421010065352
hsa-mir-365a	-0.760447852345839	5.83576036986397	-9.95509957273726	3.51855248145069e-22	2.65786041291122e-21	39.025271269434
hsa-mir-1-1	-1.91267339482389	-Inf	-10.0017712360523	3.85122635649481e-22	2.86507900157417e-21	38.9600277722823
hsa-mir-103a-1	0.731882502080922	10.2841589190219	9.91208174663671	5.18366706644475e-22	3.79877690988712e-21	38.6417725568701
hsa-mir-301a	1.40754948016869	-Inf	9.76884961146452	1.89103568089874e-21	1.36543899900188e-20	37.3721244201804
hsa-mir-191	1.0948891518721	8.82153347143739	9.76540792067967	1.92359354376257e-21	1.36881801447453e-20	37.3441598957239
hsa-mir-377	-1.2058839355463	-Inf	-9.68233885106119	4.42624358816768e-21	3.10469371684333e-20	36.5246569586368
hsa-mir-1-2	-1.88725784100412	-Inf	-9.70515572539419	4.86405909756196e-21	3.36373664352524e-20	36.4566482428025
hsa-mir-6507	-0.779426039733656	-Inf	-9.63326836663414	8.9796285160434e-21	6.12360777969071e-20	35.8495486715426
hsa-mir-1249	-1.56237126144477	-Inf	-9.59685693537678	9.86931175577057e-21	6.63812612614158e-20	35.7393553650226
hsa-mir-378a	-0.820910474050559	6.0660234467978	-9.51156252285212	1.7945136452599e-20	1.19068405381434e-19	35.1351869763876
hsa-mir-128-2	0.52026868877826	4.73756644520286	9.50724728861969	1.86319957635791e-20	1.21977465598898e-19	35.0980421993318
hsa-mir-376c	-1.53712594610865	-Inf	-9.5071623653059	1.90154952638198e-20	1.22850107559678e-19	35.0789450405156
hsa-mir-130a	-0.717799511627801	4.61452756614974	-9.33362811347284	8.35048239485003e-20	5.32478812450826e-19	33.6149383576887
hsa-mir-6716	-0.719333580315539	-Inf	-9.29614014777408	1.29574999760457e-19	8.15658011312618e-19	33.1978752437494
hsa-mir-299	-1.13733151372319	-Inf	-9.2159555669881	2.44347981226069e-19	1.51866909850633e-18	32.557776675971
hsa-mir-6715a	-0.916154851389351	-Inf	-9.24888623592724	2.8741094855006e-19	1.76398469672599e-18	32.4492368642947
hsa-mir-3199-2	-0.688710620125308	-Inf	-9.20576931743322	4.11004928558027e-19	2.49140024595051e-18	32.0903249802996
hsa-mir-3065	1.1476799855731	3.93161866515846	9.10485723795728	5.8273591894099e-19	3.4893089780491e-18	31.6949149456229
hsa-mir-328	-0.911325263591026	6.86606328082013	-9.10305711990536	5.91622295530111e-19	3.49983791693114e-18	31.6799624675467
hsa-mir-450b	1.0884383209848	6.11007765766581	9.06993880562932	7.81236722114951e-19	4.56651464950525e-18	31.4053045818992
hsa-mir-574	-0.652445967786413	8.16896375681955	-8.97645713610035	1.70480137266309e-18	9.84773498797148e-18	30.6345096052709
hsa-mir-760	0.988469651520629	-Inf	8.94653240681391	2.23329555712594e-18	1.27505595180097e-17	30.4020394238162
