logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-mir-183	2.51066790395498	10.479117698093	27.4719667604978	1.87647026993121e-119	9.21346902536222e-117	262.062863725442
hsa-mir-139	-2.15299074533598	4.78312366302315	-26.3788674792048	1.52950951748079e-112	3.75494586541534e-110	246.194024311049
hsa-mir-100	-1.95879563963955	8.25947598036181	-22.6456074537521	3.11483635394508e-89	5.09794883262345e-87	192.679080872927
hsa-mir-486-1	-3.38949788293075	4.25337066126108	-21.3268221472335	3.46243774751511e-81	4.2501423350748e-79	174.209973104467
hsa-mir-486-2	-3.36649015278135	4.22335587964852	-21.1679064209793	3.15955009922279e-80	3.10267819743678e-78	172.005975406167
hsa-mir-429	1.78053253876486	-Inf	20.0552838285117	1.53619714168932e-73	1.25712132761576e-71	156.662629972622
hsa-mir-337	-1.45342758492911	3.79597139089638	-18.5778429641083	6.23225827812146e-65	4.37148402079662e-63	136.908100201529
hsa-mir-32	1.34321300055958	5.64655586242341	18.5129038508495	1.47302651654381e-64	9.04070024528762e-63	136.051106674742
hsa-mir-96	1.69920670661505	3.60547579285303	18.4461413444766	3.56197916535696e-64	1.94325752243363e-62	135.171380020938
hsa-mir-145	-1.79171873751145	8.17544454014573	-18.3569772401906	1.15592631445192e-63	5.6755982039589e-62	133.99859245102
hsa-mir-141	1.76767088052587	7.99541679213203	17.8715431768004	6.71971161595106e-61	2.99943491221088e-59	127.657461086248
hsa-mir-144	-2.06106866807574	4.02750708014522	-16.8773769426555	2.41081773529663e-55	9.86426256692204e-54	114.918402535932
hsa-mir-92b	1.62299464556126	8.11074508755611	16.7753497451452	8.78154348219149e-55	3.31672142288925e-53	113.631142686566
hsa-mir-125b-2	-1.54317053347664	6.39901850489677	-16.7039238786205	2.16564776318863e-54	7.5952360837544e-53	112.732307327335
hsa-mir-451a	-2.76667098322344	6.69773038942525	-16.2512066087087	6.31789386834142e-52	2.06805725957043e-50	107.08102699613
hsa-mir-204	-1.70113062346264	-Inf	-15.8483773998336	8.08353398942618e-49	2.48063449300516e-47	99.9923268905659
hsa-mir-181b-1	0.965829527420297	6.38682779317462	15.4329272017683	1.46205491724197e-47	4.22275861391651e-46	97.0777469705717
hsa-mir-4677	0.990838948854838	3.82136710170673	14.7956685143283	2.99773239847316e-44	8.17714782027955e-43	89.4895891341104
hsa-mir-200a	1.61161469612204	7.09482664745285	14.6735908461495	1.26483628734552e-43	3.26860324782446e-42	88.0573087386939
hsa-mir-200b	2.0656086116588	8.21214521005387	14.6599059215677	1.48571246816531e-43	3.64742410934584e-42	87.8971894613035
hsa-mir-592	2.33742147549391	-Inf	14.4868684275316	1.49432070666439e-42	3.49386412843913e-41	85.6875906175703
hsa-mir-1301	1.34195145921979	-Inf	14.2269126119005	2.35969886856191e-41	5.26641883847225e-40	82.8652024277819
hsa-mir-335	-1.33462191845801	-Inf	-14.1286312355219	7.24443336373587e-41	1.54652903547579e-39	81.7408935172138
hsa-mir-130b	0.961078543015537	3.94934049512375	14.0832379842194	1.20769709795331e-40	2.47074697956282e-39	81.232436015182
