logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-mir-139	-3.10565378831501	5.18645645668792	-29.0425575650852	4.25917965746141e-130	2.09125721181355e-127	286.483656329873
hsa-mir-183	3.61200749655767	13.3999771464345	25.0717034147744	8.88658654381365e-105	2.18165699650625e-102	228.361380836095
hsa-mir-486-1	-4.85252889400517	4.4524060874101	-24.7478679769001	9.87883681249631e-103	1.61683629164523e-100	223.668754866753
hsa-mir-486-2	-4.81963713549845	4.41003525401569	-24.7008551971938	1.95597024697589e-102	2.4009534781629e-100	222.987871507294
hsa-mir-100	-2.82015369213315	10.2000310818943	-24.2871989296885	7.89380136032541e-100	7.75171293583956e-98	216.985345045566
hsa-mir-337	-2.07741513561949	3.78349875148225	-20.1633764299608	1.87710273110602e-74	1.53609573495509e-72	158.79535602183
hsa-mir-145	-2.57859623142705	10.0795484561582	-19.5119434265991	1.39424774613237e-70	9.77965204787135e-69	149.838679472261
hsa-mir-144	-2.96537767414089	4.10316976228303	-18.9863962889772	1.70351180809178e-67	1.04553037221633e-65	142.822400019719
hsa-mir-592	3.39327058217414	1.81312961003128	18.274571311476	2.27413311365511e-63	1.2406659542274e-61	133.420802682863
hsa-mir-451a	-3.97871980788088	7.95336915824905	-17.5487944200074	3.0985425456209e-59	1.52138438989986e-57	123.818855916876
hsa-mir-125b-2	-2.207501271345	7.53076652042292	-17.1871512523866	3.32633969282211e-57	1.48475708106878e-55	119.192228312533
hsa-mir-429	2.57264939757457	5.52962271936076	17.1247067741428	7.42265076230974e-57	3.03710127024507e-55	118.499849239124
hsa-mir-32	1.91961919687229	6.43699151294278	16.9926757841886	4.03243184358884e-56	1.52301848861702e-54	116.782290480867
hsa-mir-141	2.5337668816778	9.82052553968974	16.9007580136593	1.3049919529613e-55	4.57679320645714e-54	115.552787042185
hsa-mir-4732	-2.19980687139034	-1.94395428579198	-16.8353629498161	3.00357515995807e-55	9.83170269026275e-54	114.83428019219
hsa-mir-96	2.3858522918206	3.52995556274202	16.5573340234688	1.02071515198042e-53	3.13231962263993e-52	111.335115996965
hsa-mir-92b	2.34072586681113	9.99461295837919	16.2296867555873	6.25986132740028e-52	1.80799524220796e-50	107.111399711073
hsa-mir-204	-2.85987879412029	0.543137552256689	-15.3214664047765	4.47541944231861e-47	1.22079497009913e-45	96.1166865459477
hsa-let-7c	-2.21865154226462	10.9878733612366	-14.8613867462323	1.12117498857967e-44	2.89735220732957e-43	90.4102976607038
hsa-mir-181b-1	1.38674249264754	7.50172406206557	14.8063299078536	2.15719815044213e-44	5.29592145933543e-43	89.8726101443719
hsa-mir-495	-2.02746610786185	3.94475327102861	-14.3460610302596	4.84512337228339e-42	1.13283598847197e-40	84.5119673618046
hsa-mir-23a	-1.28940591979987	11.0864088081257	-14.1589531857501	4.24954229866844e-41	9.48420576657365e-40	82.2261158597996
hsa-mir-335	-1.94296930775539	7.78105166901931	-14.0943391594433	8.9585030646721e-41	1.91244565424087e-39	81.5409927482606
hsa-mir-195	-1.30234037316165	5.12294229301074	-13.8847426859856	9.92099919743181e-40	2.02967108580792e-38	79.2024357015976
hsa-mir-200a	2.30912970289326	8.52472397644516	13.8690704675856	1.18645184944147e-39	2.33019143230304e-38	79.0140476939198
hsa-mir-1301	1.97424714112979	3.19422099499117	13.8031414516193	2.51471206983673e-39	4.57305046774013e-38	78.4182515274026
hsa-mir-200b	2.95437065082548	10.1328725791724	13.8042326937501	2.4836843710347e-39	4.57305046774013e-38	78.256858645506
hsa-mir-452	-2.91858301721544	5.16755136800854	-13.5599743603551	3.93767762497511e-38	6.90499897808135e-37	75.5163411511589
hsa-mir-4677	1.38886968385498	3.80893688360874	13.5223219463644	6.01210576258865e-38	1.0179116998038e-36	75.2495045283071
hsa-mir-511	-2.64156738721005	3.77865113113663	-13.2933339081485	7.75615148119996e-37	1.26942345908973e-35	72.5927634968136
hsa-mir-584	-1.67026128788799	6.2395856833378	-13.1777849196632	2.78862035825621e-36	4.41681482549612e-35	71.278731581169
hsa-mir-193a	-1.48966441934452	9.75700849335268	-12.9743558940976	2.60640135094326e-35	3.99919707285356e-34	69.0029022080923
hsa-mir-483	-2.42898418946414	1.50659445866298	-12.9592929740178	3.07267034799949e-35	4.57176103293258e-34	69.0290043298673
hsa-mir-130b	1.36565236006411	4.00288917170331	12.9344758033975	4.02860756416354e-35	5.81778327648322e-34	68.784786625311
hsa-mir-1-1	-3.43111517355233	1.10473653115038	-12.6847349375463	6.03360730899703e-34	8.46428911062155e-33	66.0549882040151
hsa-mir-1258	-3.10210582861071	-0.114770937514133	-12.6152674193786	1.27287383858342e-33	1.73605848540127e-32	65.364532813775
