logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-21-5p	2.29120398689462	17.6027883033726	27.7668592994856	1.56047159363403e-121	1.00182276311305e-118	266.828617239778
hsa-miR-139-5p	-3.15789213768309	5.27428631605511	-26.7431916800462	4.91547865111799e-115	1.57786864700887e-112	251.91555568758
hsa-miR-139-3p	-3.47742519474411	2.89440732622781	-24.2372753027312	3.05872758722185e-99	6.54567703665475e-97	215.661094457997
hsa-miR-486-5p	-3.98003371068136	5.49846330994902	-22.5109702594321	1.59574786231732e-88	2.5611753190193e-86	191.048173649129
hsa-miR-145-5p	-2.61941752897544	10.2467658352249	-21.9260741757842	6.17734268214272e-85	7.93170800387125e-83	182.783262123211
hsa-miR-10b-5p	-2.15608502347821	16.0314215663066	-20.0531489375622	1.22266631819796e-73	1.30825296047182e-71	156.788183552525
hsa-miR-183-5p	2.89341665010467	13.4741766072323	19.7357944143819	9.2800149266236e-72	8.51109940413193e-70	152.545851238254
hsa-miR-21-3p	2.23140131385608	10.8163412923796	18.9833187411446	2.40009505795086e-67	1.92607628400557e-65	142.441168078701
hsa-miR-145-3p	-1.78931995367906	4.85038548179039	-18.9347588955093	4.59909328237295e-67	3.28068654142604e-65	141.830251586426
hsa-miR-204-5p	-3.44777223958677	1.08823753202314	-18.7499874044677	5.42855460893008e-66	3.48513205893311e-64	139.408224559804
hsa-miR-96-5p	3.12902940939288	4.63614098180134	18.5498886175144	7.77523868355889e-65	4.5379120316771e-63	136.781363405679
hsa-miR-141-3p	2.93893399928551	9.50292513033112	18.248690679106	4.17730399602384e-63	2.23485763787275e-61	132.740935380014
hsa-miR-451a	-3.22351455988015	7.16120876115092	-17.7151629254811	4.51867926969865e-60	2.23153237780503e-58	125.743335366118
hsa-miR-144-5p	-2.90540381584402	5.20351881001596	-17.6828620954421	6.8769747349251e-60	3.15358412844422e-58	125.356016585199
hsa-miR-378a-5p	-2.31236118456055	5.29263504228623	-17.4546193615697	1.32364992510164e-58	5.66522167943504e-57	122.417096586388
hsa-miR-99a-5p	-2.32822653230272	9.33098805271204	-17.2690332482452	1.44654592964301e-57	5.8042655426926e-56	119.979008204526
