Ab_Name	Gene_Name	NCBI_Entrez_Gene_ID
14-3-3-beta	YWHAB	7529
14-3-3-epsilon	YWHAE	7531
14-3-3-zeta	YWHAZ	7534
4E-BP1	EIF4EBP1	1978
4E-BP1_pS65	EIF4EBP1	1978
4E-BP1_pT37_T46	EIF4EBP1	1978
53BP1	TP53BP1	7158
Abl_pY412	ABL1	25
ACC_pS79	ACACA, B	31, 32
ACC1	ACACA, B	31, 32
AceCS1	ACSS2	55902
ACLY_pS455	ACLY	47
ACSL1	ACSL1	2180
ACVRL1	ACVRL1	94
ADAR1	ADAR	103
Akt	AKT1-3	207, 208, 10000
Akt_pS473	AKT1-3	207, 208, 10000
Akt_pT308	AKT1-3	207, 208, 10000
Akt1	AKT1	207
Akt1_pS473	AKT1	207
Akt2	AKT2	208
Akt2_pS474	AKT2	208
ALKBH5	ALKBH5	54890
Ambra1_pS52	AMBRA1	55626
AMPKALPHA	PRKAA1, 2	5562, 5563
AMPKALPHAPT172	PRKAA1, 2	5562, 5563
AMPK-a2_pS345	PRKAA2	5563
ANNEXIN1	ANXA1	301
Annexin-VII	ANXA7	310
AR	AR	367
A-Raf	ARAF	369
A-Raf_pS299	ARAF	369
ARID1A	ARID1A	8289
ASNS	ASNS	440
Atg3	ATG3	64422
Atg4B	ATG4B	23192
Atg5	ATG5	9474
Atg7	ATG7	10533
ATM	ATM	472
ATM_pS1981	ATM	472
ATP5A	ATP5F1A	498
ATP5H	ATP5PD	10476
ATR	ATR	545
ATR_pS428	ATR	545
ATRX	ATRX	546
Aurora-A	AURKA	6790
AURORAABCPT288PT232PT198	AURKA-C	6790, 9212, 6795
Aurora-B	AURKB	9212
Axl	AXL	558
B7-H3	CD276	80381
B7-H4	VTCN1	79679
b-Actin	ACTB	60
Bad_pS112	BAD	572
Bak	BAK1	578
BAP1C4	BAP1	8314
Bax	BAX	581
BETACATENIN	CTNNB1	1499
b-Catenin_pT41_S45	CTNNB1	1499
Bcl2	BCL2	596
Bcl2A1	BCL2A1	597
Bcl-xL	BCL2L1	598
Beclin	BECN1	8678
Bid	BID	637
Bim	BCL2L11	10018
BiP-GRP78	HSPA5	3309
BMK1-Erk5_pT218_Y220	MAPK7	5598
B-Raf	BRAF	673
B-Raf_pS445	BRAF	673
BRCA2	BRCA2	675
BRCA1	BRCA1	672
BRD4	BRD4	23476
CA9	CA9	768
CABLPY412	ABL1	25
Calnexin	CANX	821
CASPASE3	CASP3	836
CASPASE7CLEAVEDD198	CASP7	840
Caspase-8	CASP8	841
Caspase-8-cleaved	CASP8	841
Caveolin-1	CAV1	857
CD134	TNFRSF4	7293
CD171	L1CAM	3897
CD2	CD2	914
CD20	MS4A1	931
CD26	DPP4	1803
CD29	ITGB1	3688
CD31	PECAM1	5175
CD38	CD38	952
CD4	CD4	920
CD44	CD44	960
CD45	PTPRC	5788
CD49b	ITGA2	3673
CD5	CD5	921
CD86	CD86	942
CD68	CD68	968
CD74	CD74	972
cdc2_pY15	CDK1 	983
cdc25C	CDC25C	995
Cdc42	CDC42, RAC1	998, 5879
Cdc6	CDC6	990
CDK1	CDK1	983
CDK1_pT14	CDK1-3	983, 1017, 1018
CDK9	CDK9	1025
CDT1	CDT1	81620
CENP-A	CENPA	1058
cGAS	CGAS	115004
CHD1L	CHD1L	9557
Chk1	CHEK1	1111
Chk1_pS296	CHEK1	1111
Chk1_pS345	CHEK1	1111
Chk2	CHEK2	11200
Chk2_pT68	CHEK2	11200
CIAP	BIRC3	330
CIITA	CIITA	4261
c-Jun_pS73	JUN	3725
c-Kit	KIT	3815
Claudin-7	CLDN7	1366
CMET	MET	4233
c-Myc	MYC	4609
COG3	COG3	83548
Collagen-VI	COL6A1	1291
Complex-II-Subunit	SDHB	6390
Connexin-43	GJA1	2697
Coup-TFII	NR2F2	7026
Cox2	PTGS2	5743
Cox-IV	COX4I1	1327
CRABP1	CRABP1	1381
CRABP2	CRABP2	1382
C-Raf	RAF1	5894
C-Raf_pS338	RAF1	5894
Creb	CREB1	1385
CREB_pS133	CREB1	1385
CSK	CSK	1445
CtIP	RBBP8	5932
Cyclin-B1	CCNB1	891
Cyclin-D1	CCND1	595
Cyclin-D3	CCND3	896
Cyclin-E1	CCNE1	898
Cyclophilin-F	PPIF	10105
DAPK1_pS308	DAPK1	1612
DAPK2	DAPK2	23604
D-a-Tubulin	TUBA4A, TUBA3C	7277, 7278
DDB-1	DDB1	1642
DDR1	DDR1	780
DDR1_pY513	DDR1	780
DIRAS3	DIRAS3	9077
DJ1	PARK7	11315
DM-Histone-H3	H3-4	8290
DM-K9-Histone-H3	H3C1-4, 6-8, 10-12	8350-8, 8968
DNA-Ligase-IV	LIG4	3981
DNMT1	DNMT1	1786
DRP1	DNM1L	10059
DUSP4	DUSP4	1846
DUSP6	DUSP6	1848
Dvl3	DVL3	1857
DYRK1B	DYRK1B	9149
E2F1	E2F1	1869
E-Cadherin	CDH1	999
eEF2	EEF2	1938
eEF2K	EEF2K	29904
EGFR	EGFR	1956
EGFR_pY1173	EGFR	1956
EPPK1	EPPK1	83481
eIF4E	EIF4E	1977
eIF4E_pS209	EIF4E	1977
eIF4G	EIF4G1	1981
Elk1_pS383	ELK1	2002
EMA	MUC1	4582
Enolase-1	ENO1	2023
Enolase-2	ENO2	2026
ENY2	ENY2	56943
EPHA2	EPHA2	1969
EphA2_pS897	EPHA2	1969
EphA2_pY588	EPHA2	1969
ER-a	ESR1	2099
ER-a_pS118	ESR1	2099
ERCC1	ERCC1	2067
ERCC5	ERCC5	2073
ERK2	MAPK1	5594
Erk5	MAPK7	5598
ERALPHA	ESRRA	2101
Ets-1	ETS1	2113
EVI1	MECOM	2122
FABP5	FABP5	2171
FAK	PTK2	5747
FAK_pY397	PTK2	5747
FANCD2	FANCD2	2177
FASN	FASN	2194
FGF-basic	FGF2	2247
Fibronectin	FN1	2335
FN14	TNFRSF12A	51330
Folliculin	FLCN	201163
FOXM1	FOXM1	2305
FoxO3a	FOXO3	2309
FoxO3a_pS318_S321	FOXO3	2309
FRS2ALPHAPY196	FRS2	10818
FTO	FTO	79068
G6PD	G6PD	2539
Gab2	GAB2	9846
GAPDH	GAPDH	2597
GATA3	GATA3	2625
GATA6	GATA6	2627
GCLC	GCLC	2729
GCLM	GCLM	2730
GCN5L2	KAT2A	2648
GGPS1	GGPS1	9453
Gli1	GLI1	2735
Gli3	GLI3	2737
Glucocorticoid-Receptor	NR3C1	2908
Glutamate-D1-2	GLUD1	2746
Glutaminase	GLS	2744
Granzyme-B	GZMB	3002
GRB2	GRB2	2885
GRB7	GRB7	2886
Grp75	HSPA9	3313
GSK3ALPHABETA	GSK3A, B	2931, 2932
GSK3ALPHABETAPS21S9	GSK3A, B	2931, 2932
GSK-3B	GSK3B	2932
Gys	GYS1	2997
Gys_pS641	GYS1	2997
H2AX_pS139	H2AX	3014
H2AX_pS140	H2AX	3014
HER2	ERBB2	2064
HER2_pY1248	ERBB2	2064
HER3	ERBB3	2065
HER3_pY1289	ERBB3	2065
Heregulin	NRG1	3084
HES1	HES1	3280
Hexokinase-I	HK1	3098
Hexokinase-II	HK2	3099
Hif-1-alpha	HIF1A	3091
Histone-H3	H3C1-4, 6-8, 10-12	8350-8, 8968
Histone-H3_pS10	H3C1-4, 6-8, 10-12	8350-8, 8968
HLA-DQA1	HLA-DQA1	3117
