mirna_id	value
hsa-let-7c-5p	ENSG00000137710
hsa-let-7c-5p	ENSG00000180667
hsa-let-7c-5p	ENSG00000102531
hsa-let-7c-5p	ENSG00000198625
hsa-let-7c-5p	ENSG00000148248
hsa-let-7c-5p	ENSG00000103202
hsa-let-7c-5p	ENSG00000133193
hsa-let-7c-5p	ENSG00000131242
hsa-let-7c-5p	ENSG00000116106
hsa-let-7c-5p	ENSG00000065613
hsa-let-7c-5p	ENSG00000179361
hsa-let-7c-5p	ENSG00000120519
hsa-let-7c-5p	ENSG00000171552
hsa-let-7c-5p	ENSG00000122482
hsa-let-7c-5p	ENSG00000158615
hsa-let-7c-5p	ENSG00000187109
hsa-let-7c-5p	ENSG00000176994
hsa-let-7c-5p	ENSG00000084652
hsa-let-7c-5p	ENSG00000174840
hsa-let-7c-5p	ENSG00000158669
hsa-let-7c-5p	ENSG00000186106
hsa-let-7c-5p	ENSG00000156273
hsa-let-7c-5p	ENSG00000167081
hsa-let-7c-5p	ENSG00000100335
hsa-let-7c-5p	ENSG00000128595
hsa-let-7c-5p	ENSG00000128510
hsa-let-7c-5p	ENSG00000086712
hsa-let-7c-5p	ENSG00000129422
hsa-let-7c-5p	ENSG00000172840
hsa-let-7c-5p	ENSG00000116406
hsa-let-7c-5p	ENSG00000078401
hsa-let-7c-5p	ENSG00000059728
hsa-let-7c-5p	ENSG00000213281
hsa-let-7c-5p	ENSG00000204304
hsa-let-7c-5p	ENSG00000126003
hsa-let-7c-5p	ENSG00000221914
hsa-let-7c-5p	ENSG00000115808
hsa-let-7c-5p	ENSG00000137801
hsa-let-7c-5p	ENSG00000161202
hsa-let-7c-5p	ENSG00000185619
hsa-let-7c-5p	ENSG00000259207
hsa-let-7c-5p	ENSG00000171848
hsa-let-7c-5p	ENSG00000091527
hsa-let-7c-5p	ENSG00000188848
hsa-let-7c-5p	ENSG00000082153
hsa-miR-100-5p	ENSG00000153147
hsa-miR-106b-5p	ENSG00000185722
hsa-miR-106b-5p	ENSG00000124120
hsa-miR-106b-5p	ENSG00000149212
hsa-miR-106b-5p	ENSG00000137266
hsa-miR-106b-5p	ENSG00000112715
hsa-miR-106b-5p	ENSG00000011114
hsa-miR-106b-5p	ENSG00000177463
hsa-miR-106b-5p	ENSG00000029993
hsa-miR-106b-5p	ENSG00000087245
hsa-miR-106b-5p	ENSG00000146826
hsa-miR-106b-5p	ENSG00000170456
hsa-miR-106b-5p	ENSG00000162441
hsa-miR-106b-5p	ENSG00000068366
hsa-miR-106b-5p	ENSG00000074657
hsa-miR-106b-5p	ENSG00000108654
hsa-miR-106b-5p	ENSG00000182481
hsa-miR-106b-5p	ENSG00000123684
hsa-miR-106b-5p	ENSG00000156531
hsa-miR-106b-5p	ENSG00000170832
hsa-miR-106b-5p	ENSG00000135108
hsa-miR-106b-5p	ENSG00000185658
hsa-miR-106b-5p	ENSG00000110092
hsa-miR-106b-5p	ENSG00000057019
hsa-miR-106b-5p	ENSG00000119950
hsa-miR-106b-5p	ENSG00000162695
hsa-miR-106b-5p	ENSG00000153094
hsa-miR-106b-5p	ENSG00000167981
hsa-miR-106b-5p	ENSG00000166068
hsa-miR-106b-5p	ENSG00000165434
hsa-miR-106b-5p	ENSG00000155744
hsa-miR-106b-5p	ENSG00000179021
hsa-miR-106b-5p	ENSG00000161791
hsa-miR-106b-5p	ENSG00000253276
hsa-miR-106b-5p	ENSG00000173960
hsa-miR-106b-5p	ENSG00000133059
hsa-miR-106b-5p	ENSG00000167106
hsa-miR-106b-5p	ENSG00000109458
hsa-miR-106b-5p	ENSG00000141034
hsa-miR-106b-5p	ENSG00000151835
hsa-miR-106b-5p	ENSG00000158445
hsa-miR-106b-5p	ENSG00000173011
hsa-miR-106b-5p	ENSG00000103479
hsa-miR-106b-5p	ENSG00000126775
hsa-miR-106b-5p	ENSG00000122966
hsa-miR-106b-5p	ENSG00000163513
hsa-miR-106b-5p	ENSG00000106351
hsa-miR-106b-5p	ENSG00000072121
hsa-miR-106b-5p	ENSG00000196632
hsa-miR-106b-5p	ENSG00000144711
hsa-miR-106b-5p	ENSG00000135709
hsa-miR-106b-5p	ENSG00000115977
hsa-miR-106b-5p	ENSG00000023516
hsa-miR-106b-5p	ENSG00000180667
hsa-miR-106b-5p	ENSG00000163577
hsa-miR-106b-5p	ENSG00000108256
hsa-miR-106b-5p	ENSG00000100503
hsa-miR-106b-5p	ENSG00000124201
hsa-miR-106b-5p	ENSG00000025039
hsa-miR-106b-5p	ENSG00000112796
hsa-miR-106b-5p	ENSG00000116132
hsa-miR-106b-5p	ENSG00000173281
hsa-miR-106b-5p	ENSG00000133740
hsa-miR-106b-5p	ENSG00000143772
hsa-miR-106b-5p	ENSG00000100030
hsa-miR-106b-5p	ENSG00000088179
hsa-miR-106b-5p	ENSG00000111540
hsa-miR-106b-5p	ENSG00000124766
hsa-miR-106b-5p	ENSG00000166483
hsa-miR-106b-5p	ENSG00000114166
hsa-miR-106b-5p	ENSG00000020633
hsa-miR-106b-5p	ENSG00000100784
hsa-miR-106b-5p	ENSG00000122958
hsa-miR-106b-5p	ENSG00000169057
hsa-miR-106b-5p	ENSG00000176105
hsa-miR-106b-5p	ENSG00000185129
hsa-miR-106b-5p	ENSG00000188786
hsa-miR-106b-5p	ENSG00000135720
hsa-miR-106b-5p	ENSG00000124151
hsa-miR-106b-5p	ENSG00000069966
hsa-miR-106b-5p	ENSG00000186130
hsa-miR-106b-5p	ENSG00000092847
hsa-miR-106b-5p	ENSG00000198791
hsa-miR-106b-5p	ENSG00000081087
hsa-miR-106b-5p	ENSG00000107897
hsa-miR-106b-5p	ENSG00000124788
hsa-miR-106b-5p	ENSG00000169967
hsa-miR-106b-5p	ENSG00000204524
hsa-miR-106b-5p	ENSG00000185127
hsa-miR-106b-5p	ENSG00000257093
hsa-miR-106b-5p	ENSG00000119414
hsa-miR-106b-5p	ENSG00000164938
hsa-miR-106b-5p	ENSG00000164236
hsa-miR-106b-5p	ENSG00000185716
hsa-miR-106b-5p	ENSG00000117155
hsa-miR-106b-5p	ENSG00000120756
hsa-miR-106b-5p	ENSG00000147862
hsa-miR-106b-5p	ENSG00000198815
hsa-miR-106b-5p	ENSG00000204217
hsa-miR-106b-5p	ENSG00000101966
hsa-miR-106b-5p	ENSG00000054267
hsa-miR-10b-5p	ENSG00000159140
hsa-miR-10b-5p	ENSG00000177463
hsa-miR-10b-5p	ENSG00000118260
hsa-miR-10b-5p	ENSG00000119508
hsa-miR-10b-5p	ENSG00000176390
hsa-miR-10b-5p	ENSG00000015171
hsa-miR-125b-5p	ENSG00000111481
hsa-miR-125b-5p	ENSG00000165861
hsa-miR-125b-5p	ENSG00000161642
hsa-miR-125b-5p	ENSG00000135953
hsa-miR-125b-5p	ENSG00000133121
hsa-miR-125b-5p	ENSG00000168610
hsa-miR-125b-5p	ENSG00000156171
hsa-miR-125b-5p	ENSG00000188493
hsa-miR-125b-5p	ENSG00000065882
hsa-miR-125b-5p	ENSG00000167173
hsa-miR-125b-5p	ENSG00000168769
hsa-miR-125b-5p	ENSG00000173320
hsa-miR-125b-5p	ENSG00000163577
hsa-miR-125b-5p	ENSG00000179776
hsa-miR-125b-5p	ENSG00000101945
hsa-miR-125b-5p	ENSG00000106086
hsa-miR-125b-5p	ENSG00000124788
hsa-miR-125b-5p	ENSG00000171791
hsa-miR-125b-5p	ENSG00000113594
hsa-miR-125b-5p	ENSG00000134954
hsa-miR-125b-5p	ENSG00000164236
hsa-miR-125b-5p	ENSG00000129473
hsa-miR-130b-3p	ENSG00000110367
hsa-miR-130b-3p	ENSG00000165322
hsa-miR-130b-3p	ENSG00000147862
hsa-miR-130b-3p	ENSG00000006432
hsa-miR-130b-3p	ENSG00000070214
hsa-miR-130b-3p	ENSG00000168297
hsa-miR-130b-3p	ENSG00000109118
hsa-miR-130b-3p	ENSG00000118200
hsa-miR-130b-3p	ENSG00000155111
hsa-miR-130b-3p	ENSG00000112531
hsa-miR-130b-3p	ENSG00000196628
hsa-miR-130b-3p	ENSG00000162441
hsa-miR-130b-3p	ENSG00000092847
hsa-miR-130b-3p	ENSG00000109113
hsa-miR-130b-3p	ENSG00000133121
hsa-miR-130b-3p	ENSG00000057019
hsa-miR-130b-3p	ENSG00000132170
hsa-miR-130b-3p	ENSG00000157741
hsa-miR-130b-3p	ENSG00000109572
hsa-miR-130b-3p	ENSG00000187231
hsa-miR-130b-3p	ENSG00000143815
hsa-miR-130b-3p	ENSG00000109654
hsa-miR-130b-3p	ENSG00000172009
hsa-miR-130b-3p	ENSG00000133104
hsa-miR-130b-3p	ENSG00000100354
hsa-miR-130b-3p	ENSG00000140948
hsa-miR-130b-3p	ENSG00000170540
hsa-miR-130b-3p	ENSG00000072121
hsa-miR-130b-3p	ENSG00000100625
hsa-miR-130b-3p	ENSG00000110075
hsa-miR-130b-3p	ENSG00000196632
hsa-miR-130b-3p	ENSG00000025039
hsa-miR-130b-3p	ENSG00000198732
hsa-miR-130b-3p	ENSG00000123411
hsa-miR-130b-3p	ENSG00000175895
hsa-miR-130b-3p	ENSG00000158480
hsa-miR-130b-3p	ENSG00000115170
hsa-miR-130b-3p	ENSG00000091831
hsa-miR-130b-3p	ENSG00000144228
hsa-miR-130b-3p	ENSG00000185658
hsa-miR-130b-3p	ENSG00000204116
hsa-miR-130b-3p	ENSG00000138741
hsa-miR-130b-3p	ENSG00000102081
hsa-miR-130b-3p	ENSG00000173559
hsa-miR-139-5p	ENSG00000116833
hsa-miR-139-5p	ENSG00000057019
hsa-miR-139-5p	ENSG00000196233
hsa-miR-139-5p	ENSG00000113448
hsa-miR-139-5p	ENSG00000177125
hsa-miR-141-3p	ENSG00000137693
hsa-miR-141-3p	ENSG00000140443
hsa-miR-141-3p	ENSG00000186314
hsa-miR-141-3p	ENSG00000146776
hsa-miR-141-3p	ENSG00000141448
hsa-miR-144-3p	ENSG00000102531
hsa-miR-144-3p	ENSG00000139324
hsa-miR-144-3p	ENSG00000169047
hsa-miR-145-5p	ENSG00000105810
hsa-miR-145-5p	ENSG00000143549
hsa-miR-145-5p	ENSG00000140443
hsa-miR-145-5p	ENSG00000114993
hsa-miR-145-5p	ENSG00000183049
hsa-miR-145-5p	ENSG00000115947
