Mature	Precursor	Accession	GC.content
hsa-let-7a-2-3p	hsa-let-7a-2	MI0000061	40.28
hsa-let-7a-3p	hsa-let-7a-1	MI0000060	42.5
hsa-let-7a-5p	hsa-let-7a-1	MI0000060	42.5
hsa-let-7b-3p	hsa-let-7b	MI0000063	53.01
hsa-let-7b-5p	hsa-let-7b	MI0000063	53.01
hsa-let-7c-3p	hsa-let-7c	MI0000064	47.62
hsa-let-7c-5p	hsa-let-7c	MI0000064	47.62
hsa-let-7d-3p	hsa-let-7d	MI0000065	48.28
hsa-let-7d-5p	hsa-let-7d	MI0000065	48.28
hsa-let-7e-3p	hsa-let-7e	MI0000066	56.96
hsa-let-7e-5p	hsa-let-7e	MI0000066	56.96
hsa-let-7f-1-3p	hsa-let-7f-1	MI0000067	40.23
hsa-let-7f-2-3p	hsa-let-7f-2	MI0000068	42.17
hsa-let-7f-5p	hsa-let-7f-1	MI0000067	40.23
hsa-let-7g-3p	hsa-let-7g	MI0000433	50
hsa-let-7g-5p	hsa-let-7g	MI0000433	50
hsa-let-7i-3p	hsa-let-7i	MI0000434	53.57
hsa-let-7i-5p	hsa-let-7i	MI0000434	53.57
hsa-miR-1	hsa-mir-1-1	MI0000651	36.62
hsa-miR-100-5p	hsa-mir-100	MI0000102	46.25
hsa-miR-101-3p	hsa-mir-101-2	MI0000739	40.51
hsa-miR-101-5p	hsa-mir-101-1	MI0000103	45.33
hsa-miR-103a-2-5p	hsa-mir-103a-2	MI0000108	44.87
hsa-miR-103a-3p	hsa-mir-103a-1	MI0000109	48.72
hsa-miR-106a-5p	hsa-mir-106a	MI0000113	41.98
hsa-miR-106b-3p	hsa-mir-106b	MI0000734	60.98
hsa-miR-106b-5p	hsa-mir-106b	MI0000734	60.98
hsa-miR-107	hsa-mir-107	MI0000114	46.91
hsa-miR-10a-3p	hsa-mir-10a	MI0000266	39.09
hsa-miR-10a-5p	hsa-mir-10a	MI0000266	39.09
hsa-miR-10b-3p	hsa-mir-10b	MI0000267	40
