"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MIR663","Previous symbol","MIR663A","microRNA 663a","HGNC:32919","20p11.1"
"C1orf133","Previous symbol","SERTAD4-AS1","SERTAD4 antisense RNA 1","HGNC:32019","1q32.2"
"HIST2H2BF","Previous symbol","H2BC18","H2B clustered histone 18","HGNC:24700","1q21.2"
"C19orf51","Previous symbol","DNAAF3","dynein axonemal assembly factor 3","HGNC:30492","19q13.42"
"MST1P9","Previous symbol","MST1L","macrophage stimulating 1 like (pseudogene)","HGNC:7390","1p36.13"
"CSDAP1","Previous symbol","YBX3P1","Y-box binding protein 3 pseudogene 1","HGNC:2429","16p11.2"
"ZFP106","Previous symbol","ZNF106","zinc finger protein 106","HGNC:12886","15q15.1"
"ELTD1","Previous symbol","ADGRL4","adhesion G protein-coupled receptor L4","HGNC:20822","1p31.1"
"C3orf21","Previous symbol","XXYLT1","xyloside xylosyltransferase 1","HGNC:26639","3q29"
"LOC121952","Unmatched","","","",""
"C6orf145","Previous symbol","PXDC1","PX domain containing 1","HGNC:21361","6p25.2"
"HEATR2","Previous symbol","DNAAF5","dynein axonemal assembly factor 5","HGNC:26013","7p22.3"
"C20orf56","Previous symbol","LINC00261","long intergenic non-protein coding RNA 261","HGNC:16189","20p11.21"
"C14orf43","Previous symbol","MIDEAS","mitotic deacetylase associated SANT domain protein","HGNC:19853","14q24.3"
"GRASP","Previous symbol","TAMALIN","trafficking regulator and scaffold protein tamalin","HGNC:18707","12q13.13"
"C6orf27","Previous symbol","VWA7","von Willebrand factor A domain containing 7","HGNC:13939","6p21.33"
"LOC134466","Unmatched","","","",""
"FLJ32063","Unmatched","","","",""
"SUV420H2","Previous symbol","KMT5C","lysine methyltransferase 5C","HGNC:28405","19q13.42"
"BAT2","Previous symbol","PRRC2A","proline rich coiled-coil 2A","HGNC:13918","6p21.33"
"ZSCAN12L1","Previous symbol","ZSCAN12P1","zinc finger and SCAN domain containing 12 pseudogene 1","HGNC:13850","6p22.1"
"METT10D","Previous symbol","METTL16","methyltransferase 16, N6-methyladenosine","HGNC:28484","17p13.3"
"MTMR9L","Previous symbol","MTMR9LP","myotubularin related protein 9 like, pseudogene","HGNC:27920","1p35.2"
"LOC254312","Unmatched","","","",""
"FAM90A20","Previous symbol","FAM90A20P","family with sequence similarity 90 member A20, pseudogene","HGNC:32268","8p23.1"
"C12orf68","Previous symbol","CCDC184","coiled-coil domain containing 184","HGNC:33749","12q13.11"
"GPR133","Previous symbol","ADGRD1","adhesion G protein-coupled receptor D1","HGNC:19893","12q24.33"
"TSSC1","Previous symbol","EIPR1","EARP complex and GARP complex interacting protein 1","HGNC:12383","2p25.3"
"HIST1H3E","Previous symbol","H3C6","H3 clustered histone 6","HGNC:4769","6p22.2"
"RGNEF","Alias symbol","ARHGEF28","Rho guanine nucleotide exchange factor 28","HGNC:30322","5q13.2"
"LBXCOR1","Previous symbol","SKOR1","SKI family transcriptional corepressor 1","HGNC:21326","15q23"
"A2BP1","Alias symbol","RBFOX1","RNA binding fox-1 homolog 1","HGNC:18222","16p13.3"
"ODZ2","Previous symbol","TENM2","teneurin transmembrane protein 2","HGNC:29943","5q34"
"LOC643719","Unmatched","","","",""
"MAP3K7IP1","Previous symbol","TAB1","TGF-beta activated kinase 1 (MAP3K7) binding protein 1","HGNC:18157","22q13.1"
