"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RP13-317D12.3","Unmatched","","","",""
"snoU13","Unmatched","","","",""
"RP1-65P5.3","Unmatched","","","",""
"HRASLS2","Previous symbol","PLAAT2","phospholipase A and acyltransferase 2","HGNC:17824","11q12.3"
"CTC-1337H24.3","Unmatched","","","",""
"AP000439.3","Alias symbol","LINC02747","long intergenic non-protein coding RNA 2747","HGNC:54266","11q13.3"
"RP11-800A3.2","Unmatched","","","",""
"PRKRIR","Previous symbol","THAP12","THAP domain containing 12","HGNC:9440","11q13.5"
"RP11-111M22.2","Unmatched","","","",""
"RP11-21L23.4","Unmatched","","","",""
"RP11-21L23.3","Unmatched","","","",""
"MRE11A","Previous symbol","MRE11","MRE11 homolog, double strand break repair nuclease","HGNC:7230","11q21"
"RP11-347E10.1","Unmatched","","","",""
"RP11-712L6.8","Unmatched","","","",""
"RP11-431K24.2","Unmatched","","","",""
"RP3-477M7.5","Unmatched","","","",""
"RP3-477M7.6","Unmatched","","","",""
"RP5-888M10.2","Unmatched","","","",""
"RP5-903E17.2","Unmatched","","","",""
"RP5-1182A14.5","Unmatched","","","",""
"RP1-20B21.4","Unmatched","","","",""
"RP1-117O3.2","Unmatched","","","",""
"RP11-223A3.1","Unmatched","","","",""
"PPAP2B","Previous symbol","PLPP3","phospholipid phosphatase 3","HGNC:9229","1p32.2"
"RP11-63G10.3","Unmatched","","","",""
"RP5-1033H22.2","Unmatched","","","",""
"RP11-458D21.1","Unmatched","","","",""
"PRUNE","Previous symbol","PRUNE1","prune exopolyphosphatase 1","HGNC:13420","1q21.3"
"RP11-466F5.8","Unmatched","","","",""
"LHX4-AS1","Approved symbol","LHX4-AS1","LHX4 antisense RNA 1","HGNC:40982","1q25.2"
"GS1-115G20.1","Unmatched","","","",""
"GS1-279B7.2","Unmatched","","","",""
"RP11-307B6.3","Unmatched","","","",""
"RP11-510N19.5","Unmatched","","","",""
"RP11-510N19.2","Unmatched","","","",""
"RP11-510N19.3","Unmatched","","","",""
"RP11-564A8.8","Unmatched","","","",""
"RP11-564A8.4","Unmatched","","","",""
"FAIM3","Previous symbol","FCMR","Fc mu receptor","HGNC:14315","1q32.1"
"RP11-365O16.1","Unmatched","","","",""
"RP11-443B7.2","Unmatched","","","",""
"RP11-443B7.1","Unmatched","","","",""
"RP11-443B7.3","Unmatched","","","",""
"ITPR1-AS1","Previous symbol","ITPR1-DT","ITPR1 divergent transcript","HGNC:44470","3p26.1"
"AC026202.5","Unmatched","","","",""
"AC136289.1","Unmatched","","","",""
"ACPP","Previous symbol","ACP3","acid phosphatase 3","HGNC:125","3q22.1"
"RP11-379F4.4","Unmatched","","","",""
"RP11-3P17.4","Unmatched","","","",""
"RP11-3P17.5","Unmatched","","","",""
"RP11-513O17.2","Unmatched","","","",""
"RP11-434I12.3","Unmatched","","","",""
"TCEB1","Previous symbol","ELOC","elongin C","HGNC:11617","8q21.11"
"CTD-2284J15.1","Unmatched","","","",""
"C8orf37-AS1","Previous symbol","CFAP418-AS1","CFAP418 antisense RNA 1","HGNC:50444","8q22.1"
"C8orf37","Previous symbol","CFAP418","cilia and flagella associated protein 418","HGNC:27232","8q22.1"
"NACAP1","Previous symbol","NACA4P","NACA family member 4, pseudogene","HGNC:24688","8q22.3"
"KB-1930G5.3","Unmatched","","","",""
"KB-1930G5.4","Unmatched","","","",""
"KB-1562D12.1","Unmatched","","","",""
"KIAA0196","Previous symbol","WASHC5","WASH complex subunit 5","HGNC:28984","8q24.13"
"FAM84B","Previous symbol","LRATD2","LRAT domain containing 2","HGNC:24166","8q24.21"
"RP11-89K10.2","Unmatched","","","",""
"PVT1_1","Unmatched","","","",""
"LRRC6","Previous symbol","DNAAF11","dynein axonemal assembly factor 11","HGNC:16725","8q24.22"
"CTD-2588J1.1","Unmatched","","","",""
"AC083843.2","Unmatched","","","",""
"DOPEY2","Previous symbol","DOP1B","DOP1 leucine zipper like protein B","HGNC:1291","21q22.12"
"BX322557.13","Unmatched","","","",""
"RP11-141M1.3","Unmatched","","","",""
"RP11-179A7.2","Unmatched","","","",""
"RP11-71C5.2","Unmatched","","","",""
"RP11-490E15.2","Unmatched","","","",""
"RP11-138I18.1","Unmatched","","","",""
"RP11-397C18.2","Unmatched","","","",""
"RP11-492M23.2","Unmatched","","","",""
"LINC01468","Previous symbol","LNCAROD","lncRNA activating regulator of DKK1","HGNC:50913","10q21.1"
"RP11-574K11.24","Unmatched","","","",""
