Gene % GC content	miRBase ID
42.50	hsa-let-7a-1
40.28	hsa-let-7a-2
45.95	hsa-let-7a-3
53.01	hsa-let-7b
47.62	hsa-let-7c
48.28	hsa-let-7d
56.96	hsa-let-7e
40.23	hsa-let-7f-1
42.17	hsa-let-7f-2
50.00	hsa-let-7g
53.57	hsa-let-7i
36.62	hsa-mir-1-1
34.12	hsa-mir-1-2
46.25	hsa-mir-100
45.33	hsa-mir-101-1
40.51	hsa-mir-101-2
48.72	hsa-mir-103a-1
44.87	hsa-mir-103a-2
41.98	hsa-mir-106a
60.98	hsa-mir-106b
46.91	hsa-mir-107
39.09	hsa-mir-10a
40.00	hsa-mir-10b
69.57	hsa-mir-1180
70.59	hsa-mir-1224
64.00	hsa-mir-1226
75.34	hsa-mir-1228
66.67	hsa-mir-1229
66.67	hsa-mir-1229
30.00	hsa-mir-1245a
74.26	hsa-mir-1247
37.74	hsa-mir-1248
65.15	hsa-mir-1249
55.71	hsa-mir-1251
54.79	hsa-mir-1258
59.30	hsa-mir-125a
53.41	hsa-mir-125b-1
49.44	hsa-mir-125b-2
52.94	hsa-mir-126
35.48	hsa-mir-1262
53.57	hsa-mir-1266
59.05	hsa-mir-1269a
52.58	hsa-mir-127
39.76	hsa-mir-1270
51.16	hsa-mir-1271
25.64	hsa-mir-1277
50.00	hsa-mir-128-1
55.95	hsa-mir-128-2
51.11	hsa-mir-1287
53.33	hsa-mir-1288
48.61	hsa-mir-129-1
53.33	hsa-mir-129-2
51.72	hsa-mir-1291
71.21	hsa-mir-1292
51.90	hsa-mir-1295a
57.61	hsa-mir-1296
62.20	hsa-mir-1301
52.75	hsa-mir-1304
58.82	hsa-mir-1306
56.38	hsa-mir-1307
50.56	hsa-mir-130a
57.32	hsa-mir-130b
65.35	hsa-mir-132
44.32	hsa-mir-133a-1
50.98	hsa-mir-133a-2
57.14	hsa-mir-133b
60.27	hsa-mir-134
79.76	hsa-mir-1343
52.22	hsa-mir-135a-1
32.00	hsa-mir-135a-2
52.58	hsa-mir-135b
45.12	hsa-mir-136
58.59	hsa-mir-138-1
57.14	hsa-mir-138-2
58.82	hsa-mir-139
54.00	hsa-mir-140
55.79	hsa-mir-141
44.83	hsa-mir-142
57.55	hsa-mir-143
50.00	hsa-mir-144
47.73	hsa-mir-145
44.19	hsa-mir-1468
45.45	hsa-mir-146a
56.16	hsa-mir-146b
38.75	hsa-mir-147b
45.59	hsa-mir-148a
43.43	hsa-mir-148b
71.91	hsa-mir-149
66.67	hsa-mir-150
52.22	hsa-mir-151a
54.17	hsa-mir-151b
63.22	hsa-mir-152
46.67	hsa-mir-153-1
43.68	hsa-mir-153-2
40.48	hsa-mir-154
40.00	hsa-mir-155
42.17	hsa-mir-15a
36.73	hsa-mir-15b
40.45	hsa-mir-16-1
37.04	hsa-mir-16-2
42.86	hsa-mir-17
41.82	hsa-mir-181a-1
50.00	hsa-mir-181a-2
44.55	hsa-mir-181b-1
46.07	hsa-mir-181b-2
54.55	hsa-mir-181c
54.55	hsa-mir-181c
59.85	hsa-mir-181d
59.85	hsa-mir-181d
57.27	hsa-mir-182
49.09	hsa-mir-183
48.81	hsa-mir-184
63.41	hsa-mir-185
36.05	hsa-mir-186
65.14	hsa-mir-187
58.14	hsa-mir-188
45.07	hsa-mir-18a
46.48	hsa-mir-18b
34.12	hsa-mir-190a
34.18	hsa-mir-190b
59.78	hsa-mir-191
57.27	hsa-mir-192
63.64	hsa-mir-193a
49.40	hsa-mir-193b
41.18	hsa-mir-194-1
62.35	hsa-mir-194-2
56.32	hsa-mir-195
42.86	hsa-mir-196a-1
48.18	hsa-mir-196a-2
47.62	hsa-mir-196b
62.67	hsa-mir-197
61.54	hsa-mir-1976
61.54	hsa-mir-1976
50.70	hsa-mir-199a-1
53.64	hsa-mir-199a-2
52.73	hsa-mir-199b
42.68	hsa-mir-19a
43.68	hsa-mir-19b-1
34.38	hsa-mir-19b-2
55.56	hsa-mir-200a
